what	T1	W	k
mode	0.00344647	0.470037	0.130219
mean	0.376946	0.530481	0.519855
median	0.00372052	0.401783	0.146209
quantile_50_lower_bound	0.00327044	0.254499	0.116498
quantile_50_upper_bound	0.00425736	0.516007	0.184932
quantile_90_lower_bound	0.00271442	0.113288	0.078483
quantile_90_upper_bound	0.00486771	0.702895	0.227209
quantile_95_lower_bound	0.00255258	0.075461	0.068093
quantile_95_upper_bound	0.00504541	0.724786	0.239549
quantile_99_lower_bound	0.00226663	0.0232868	0.0503879
quantile_99_upper_bound	0.00543128	0.743933	0.268098
HPD_50_lower_bound	0.00327558	0.212469	0.106976
HPD_50_upper_bound	0.00381896	0.530921	0.168068
HPD_90_lower_bound	0.00285723	0.121779	0.0777337
HPD_90_upper_bound	0.00464051	0.750212	0.223601
HPD_95_lower_bound	0.00276822	0.106934	0.0660321
HPD_95_upper_bound	0.00483033	0.749927	0.235302
HPD_99_lower_bound	0.00245221	0.0540709	0.0484876
HPD_99_upper_bound	0.00524714	0.749837	0.264532
