number	T1	density	W	density	k	density
1	3.09934e-05	5.22423e-19	0.000249908	0.160055	0.0101905	0.000258335
2	0.000131415	6.84398e-18	0.00781133	0.219231	0.0131098	0.000521784
3	0.000231836	8.30838e-17	0.0153728	0.295106	0.016029	0.00102281
4	0.000332258	9.34711e-16	0.0229342	0.39029	0.0189483	0.00194642
5	0.000432679	9.74603e-15	0.0304956	0.507037	0.0218675	0.00359711
6	0.0005331	9.41914e-14	0.038057	0.646957	0.0247868	0.00645787
7	0.000633522	8.43874e-13	0.0456185	0.810704	0.027706	0.0112664
8	0.000733943	7.00947e-12	0.0531799	0.997688	0.0306253	0.0191067
9	0.000834364	5.39886e-11	0.0607413	1.20586	0.0335446	0.031509
10	0.000934786	3.85661e-10	0.0683027	1.4316	0.0364638	0.0505454
11	0.00103521	2.55558e-09	0.0758642	1.66976	0.0393831	0.0789007
12	0.00113563	1.57129e-08	0.0834256	1.91387	0.0423023	0.119896
13	0.00123605	8.96663e-08	0.090987	2.15652	0.0452216	0.177434
14	0.00133647	4.7506e-07	0.0985484	2.38982	0.0481408	0.25586
15	0.00143689	2.33761e-06	0.10611	2.60607	0.0510601	0.359719
16	0.00153731	1.06877e-05	0.113671	2.79826	0.0539794	0.493444
17	0.00163774	4.54247e-05	0.121233	2.96067	0.0568986	0.661019
18	0.00173816	0.000179568	0.128794	3.08925	0.0598179	0.865691
19	0.00183858	0.00066063	0.136356	3.18185	0.0627371	1.10979
20	0.001939	0.00226346	0.143917	3.2382	0.0656564	1.39477
21	0.00203942	0.00722777	0.151478	3.25975	0.0685757	1.72133
22	0.00213984	0.0215286	0.15904	3.24931	0.0714949	2.08978
23	0.00224026	0.0598709	0.166601	3.21063	0.0744142	2.50023
24	0.00234069	0.155617	0.174163	3.14794	0.0773334	2.95264
25	0.00244111	0.37849	0.181724	3.06553	0.0802527	3.44641
26	0.00254153	0.862548	0.189286	2.96742	0.0831719	3.97948
27	0.00264195	1.84463	0.196847	2.85719	0.0860912	4.54709
28	0.00274237	3.70852	0.204408	2.73789	0.0890105	5.14031
29	0.00284279	7.02343	0.21197	2.61209	0.0919297	5.74492
30	0.00294321	12.56	0.219531	2.48198	0.094849	6.341
31	0.00304363	21.2666	0.227093	2.3495	0.0977682	6.9037
32	0.00314406	34.1964	0.234654	2.21648	0.100687	7.40535
33	0.00324448	52.3867	0.242215	2.08471	0.103607	7.81868
34	0.0033449	76.6974	0.249777	1.95602	0.106526	8.12084
35	0.00344532	107.619	0.257338	1.8322	0.109445	8.2974
36	0.00354574	145.048	0.2649	1.71502	0.112365	8.34562
37	0.00364616	188.05	0.272461	1.60608	0.115284	8.27626
38	0.00374658	234.673	0.280023	1.50675	0.118203	8.11351
39	0.00384701	281.925	0.287584	1.41811	0.121122	7.89301
40	0.00394743	326.086	0.295145	1.34091	0.124042	7.65811
41	0.00404785	363.42	0.302707	1.27551	0.126961	7.45502
42	0.00414827	391.217	0.310268	1.22195	0.12988	7.32745
43	0.00424869	408.834	0.31783	1.17991	0.132799	7.31142
44	0.00434911	418.316	0.325391	1.14878	0.135719	7.43089
45	0.00444953	424.169	0.332953	1.12766	0.138638	7.69461
46	0.00454996	432.143	0.340514	1.1154	0.141557	8.09446
47	0.00465038	447.261	0.348075	1.11061	0.144476	8.60553
48	0.0047508	471.697	0.355637	1.11166	0.147396	9.18797
49	0.00485122	503.359	0.363198	1.11669	0.150315	9.79056
50	0.00495164	535.862	0.37076	1.12369	0.153234	10.3558
51	0.00505206	560.148	0.378321	1.13051	0.156153	10.8257
52	0.00515248	567.27	0.385883	1.13502	0.159073	11.1487
53	0.00525291	551.319	0.393444	1.13515	0.161992	11.2851
54	0.00535333	511.309	0.401005	1.1291	0.164911	11.2114
55	0.00545375	451.321	0.408567	1.11545	0.16783	10.9229
56	0.00555417	378.985	0.416128	1.09328	0.17075	10.4335
57	0.00565459	303.098	0.42369	1.06229	0.173669	9.77226
58	0.00575501	231.38	0.431251	1.02282	0.176588	8.97973
59	0.00585543	169.095	0.438813	0.975847	0.179507	8.10177
60	0.00595585	118.727	0.446374	0.922895	0.182427	7.1843
61	0.00605628	80.4351	0.453935	0.865919	0.185346	6.26868
62	0.0061567	52.8617	0.461497	0.807119	0.188265	5.3887
63	0.00625712	33.9338	0.469058	0.748747	0.191184	4.5692
64	0.00635754	21.4601	0.47662	0.692913	0.194104	3.8261
65	0.00645796	13.4951	0.484181	0.641412	0.197023	3.16756
66	0.00655838	8.50236	0.491743	0.595599	0.199942	2.59557
67	0.0066588	5.38041	0.499304	0.556318	0.202861	2.10764
68	0.00675923	3.40431	0.506865	0.523893	0.205781	1.69832
69	0.00685965	2.13085	0.514427	0.498183	0.2087	1.36033
70	0.00696007	1.30173	0.521988	0.478679	0.211619	1.0854
71	0.00706049	0.76607	0.52955	0.464645	0.214539	0.864884
72	0.00716091	0.429681	0.537111	0.455263	0.217458	0.69016
73	0.00726133	0.227891	0.544672	0.449788	0.220377	0.553009
74	0.00736175	0.113671	0.552234	0.447674	0.223296	0.445884
75	0.00746218	0.0531332	0.559795	0.448669	0.226216	0.362138
76	0.0075626	0.0232222	0.567357	0.452871	0.229135	0.29617
77	0.00766302	0.00947725	0.574918	0.460742	0.232054	0.243475
78	0.00776344	0.00360902	0.58248	0.473063	0.234973	0.200612
79	0.00786386	0.00128199	0.590041	0.490861	0.237893	0.165084
80	0.00796428	0.000424753	0.597602	0.515276	0.240812	0.135173
81	0.0080647	0.000131278	0.605164	0.547411	0.243731	0.109751
82	0.00816513	3.78549e-05	0.612725	0.588144	0.24665	0.0880982
83	0.00826555	1.01864e-05	0.620287	0.637936	0.24957	0.0697456
84	0.00836597	2.55839e-06	0.627848	0.69664	0.252489	0.0543573
85	0.00846639	5.9982e-07	0.63541	0.763351	0.255408	0.0416493
86	0.00856681	1.31283e-07	0.642971	0.8363	0.258327	0.0313453
87	0.00866723	2.68237e-08	0.650532	0.912844	0.261247	0.0231583
88	0.00876765	5.11551e-09	0.658094	0.989539	0.264166	0.0167916
89	0.00886807	9.1038e-10	0.665655	1.06233	0.267085	0.0119482
90	0.0089685	1.5114e-10	0.673217	1.12685	0.270004	0.00834424
91	0.00906892	2.33984e-11	0.680778	1.17876	0.272924	0.00572044
92	0.00916934	3.37633e-12	0.68834	1.21415	0.275843	0.00385071
93	0.00926976	4.53882e-13	0.695901	1.22995	0.278762	0.00254574
94	0.00937018	5.68142e-14	0.703462	1.22422	0.281681	0.00165313
95	0.0094706	6.61851e-15	0.711024	1.19637	0.284601	0.0010544
