Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016	ICCV
0	0.00504033	0.428289	0.105356	0.233758	7.73353	2.40881	0.2877
0	0.00504033	0.428289	0.105356	0.237537	7.51728	2.4616	0.2187
0	0.00504033	0.428289	0.105356	0.199593	6.94722	1.97915	0.1528
0	0.00504033	0.428289	0.105356	0.233546	7.78625	2.46549	0.352
0	0.00504033	0.428289	0.105356	0.223645	7.54771	2.22795	0.3175
1	0.00693293	0.284575	0.0520129	0.400054	9.64434	4.84608	0.0415
1	0.00693293	0.284575	0.0520129	0.392599	9.3501	4.7416	0.1406
1	0.00693293	0.284575	0.0520129	0.408484	10.1292	5.14437	0.1993
1	0.00693293	0.284575	0.0520129	0.418557	10.2259	5.22642	0.1872
1	0.00693293	0.284575	0.0520129	0.397718	9.73516	4.88012	0.1987
2	0.00129319	0.0902537	0.241261	0.0437956	2.54416	0.0325683	0.3803
2	0.00129319	0.0902537	0.241261	0.0531561	2.6426	0.0328154	0.2445
2	0.00129319	0.0902537	0.241261	0.0464983	2.50766	0.0459418	0.2857
2	0.00129319	0.0902537	0.241261	0.0453225	2.42265	0.0306907	0.1973
2	0.00129319	0.0902537	0.241261	0.0507674	2.4903	0.0441611	0.1127
3	0.0058095	0.239843	0.207672	0.155502	6.39487	1.27513	0.2229
3	0.0058095	0.239843	0.207672	0.148429	6.34887	1.25749	0.2231
3	0.0058095	0.239843	0.207672	0.139502	6.11184	1.15536	0.4156
3	0.0058095	0.239843	0.207672	0.137698	6.41579	1.18917	0.3515
3	0.0058095	0.239843	0.207672	0.165352	6.43064	1.43074	0.3502
4	0.00134163	0.0196539	0.129963	0.0764997	2.80397	0.130596	0.3223
4	0.00134163	0.0196539	0.129963	0.084885	2.81379	0.132527	0.2493
4	0.00134163	0.0196539	0.129963	0.0804215	2.75675	0.148337	0.6111
4	0.00134163	0.0196539	0.129963	0.0671642	2.89855	0.138576	0.6301
4	0.00134163	0.0196539	0.129963	0.0717781	2.76375	0.120998	0.2708
5	0.00647392	0.352574	0.248652	0.126441	6.47111	1.01297	0.1635
5	0.00647392	0.352574	0.248652	0.127949	6.4004	1.02829	0.2237
5	0.00647392	0.352574	0.248652	0.134107	6.70356	1.0894	0.0547
5	0.00647392	0.352574	0.248652	0.138817	6.89854	1.16898	0.2395
5	0.00647392	0.352574	0.248652	0.155408	6.59757	1.35821	0.2821
6	0.00377395	0.423206	0.183522	0.112634	4.47018	0.542422	0.3626
6	0.00377395	0.423206	0.183522	0.105462	4.54092	0.539306	0.4919
6	0.00377395	0.423206	0.183522	0.107667	4.70516	0.519801	0.0826
6	0.00377395	0.423206	0.183522	0.10813	4.76866	0.550304	0.1749
6	0.00377395	0.423206	0.183522	0.112654	4.92039	0.604966	0.2349
7	5.45229e-05	0.137752	0.136097	0.0280862	1.98308	0	0.3115
7	5.45229e-05	0.137752	0.136097	0.0397946	1.92907	0	0.2498
7	5.45229e-05	0.137752	0.136097	0.0381078	1.97811	0	0.2475
7	5.45229e-05	0.137752	0.136097	0.0380328	1.91247	0	0.5011
7	5.45229e-05	0.137752	0.136097	0.0268886	2.06583	0.00192708	0.1875
8	0.00455652	0.368097	0.27484	0.0858351	4.3005	0.351998	0.0456
8	0.00455652	0.368097	0.27484	0.101781	4.38199	0.477966	0.2719
8	0.00455652	0.368097	0.27484	0.0864097	4.56277	0.363643	0.4136
8	0.00455652	0.368097	0.27484	0.0933071	4.82482	0.444896	0.3173
8	0.00455652	0.368097	0.27484	0.0849785	4.18224	0.304755	0.4228
9	0.00798505	0.106801	0.205393	0.217467	8.54171	2.62377	0.5341
9	0.00798505	0.106801	0.205393	0.232565	7.97239	2.47227	0.3814
9	0.00798505	0.106801	0.205393	0.226343	8.82009	2.75867	0.4032
9	0.00798505	0.106801	0.205393	0.226112	8.25357	2.58717	0.611
9	0.00798505	0.106801	0.205393	0.217792	8.94547	2.75556	0.2779
10	3.09934e-05	0.589937	0.180984	0.0282709	1.91781	0	0.1269
10	3.09934e-05	0.589937	0.180984	0.0277045	1.97123	0	0.442
10	3.09934e-05	0.589937	0.180984	0.0308725	1.81776	0	0.1106
10	3.09934e-05	0.589937	0.180984	0.0285529	2.03678	0	0.2428
10	3.09934e-05	0.589937	0.180984	0.041115	1.83935	0	0.3618
11	0.00871307	0.0501305	0.196371	0.261442	8.62013	2.93672	0.4965
11	0.00871307	0.0501305	0.196371	0.23641	8.57899	2.77725	0.4748
11	0.00871307	0.0501305	0.196371	0.252623	8.66429	3.0985	0.6129
11	0.00871307	0.0501305	0.196371	0.263255	9.19333	3.30691	0.4676
11	0.00871307	0.0501305	0.196371	0.223165	8.81986	2.8894	0.3632
12	0.00735263	0.210292	0.105839	0.300278	9.44971	3.74873	0.2056
12	0.00735263	0.210292	0.105839	0.332816	9.96501	4.15593	0.2241
12	0.00735263	0.210292	0.105839	0.304553	10.0819	4.07257	0.2462
12	0.00735263	0.210292	0.105839	0.292624	9.96623	3.98534	0.303
12	0.00735263	0.210292	0.105839	0.299975	10.539	4.16699	0.1731
13	0.0096528	0.12656	0.151802	0.318171	11.4224	4.71971	0.4416
13	0.0096528	0.12656	0.151802	0.306793	11.9066	4.88594	0.2886
13	0.0096528	0.12656	0.151802	0.287067	11.5159	4.60021	0.2252
13	0.0096528	0.12656	0.151802	0.317048	10.424	4.26095	0.2766
13	0.0096528	0.12656	0.151802	0.313467	10.5428	4.28753	0.3339
14	0.00654062	0.661917	0.265998	0.130304	6.48489	1.01818	0.2867
14	0.00654062	0.661917	0.265998	0.121111	6.36524	0.914248	0.2559
14	0.00654062	0.661917	0.265998	0.131246	6.62178	1.10427	0.3215
14	0.00654062	0.661917	0.265998	0.116294	6.67217	0.953715	0.1088
14	0.00654062	0.661917	0.265998	0.122175	6.47563	0.905898	0.1473
15	0.00176019	0.340893	0.269287	0.0515634	2.74903	0.0598456	0.3773
15	0.00176019	0.340893	0.269287	0.0644139	2.92145	0.0768802	0.497
15	0.00176019	0.340893	0.269287	0.0466408	2.60865	0.0288567	0.0621
15	0.00176019	0.340893	0.269287	0.0574591	2.80047	0.0595844	0.4507
15	0.00176019	0.340893	0.269287	0.0511215	2.80108	0.0611422	0.2707
16	0.00749278	0.371374	0.0817354	0.334216	11.4424	5.19399	0.0702
16	0.00749278	0.371374	0.0817354	0.328299	10.9521	4.80626	0.0514
16	0.00749278	0.371374	0.0817354	0.337568	10.7071	4.8672	0.2551
16	0.00749278	0.371374	0.0817354	0.341626	10.918	4.94005	0.1964
16	0.00749278	0.371374	0.0817354	0.335165	10.6007	4.51467	0.1868
17	0.00396456	0.00862891	0.189121	0.144136	4.34733	0.815363	0.5068
17	0.00396456	0.00862891	0.189121	0.122293	4.44046	0.667129	0.4434
17	0.00396456	0.00862891	0.189121	0.136199	4.8256	0.857027	0.3598
17	0.00396456	0.00862891	0.189121	0.121578	4.77696	0.670652	0.2336
17	0.00396456	0.00862891	0.189121	0.121301	4.46514	0.719812	0.4333
18	0.00602976	0.538088	0.294621	0.116055	5.58114	0.737858	0.4184
18	0.00602976	0.538088	0.294621	0.0850365	5.43441	0.503827	0.058
18	0.00602976	0.538088	0.294621	0.101658	5.6933	0.68443	0.2186
18	0.00602976	0.538088	0.294621	0.0887574	5.74708	0.540406	0.0321
18	0.00602976	0.538088	0.294621	0.100569	5.72438	0.710746	0.2532
19	0.00457509	0.469839	0.223665	0.106465	5.03542	0.577835	0.3879
19	0.00457509	0.469839	0.223665	0.115845	5.68623	0.739844	0.2725
19	0.00457509	0.469839	0.223665	0.106975	5.06776	0.614916	0.2038
19	0.00457509	0.469839	0.223665	0.105409	5.00528	0.58411	0.2779
19	0.00457509	0.469839	0.223665	0.108521	4.90639	0.572252	0.1433
20	0.0040961	0.636697	0.239059	0.0953734	4.66427	0.400069	0.0734
20	0.0040961	0.636697	0.239059	0.0868336	4.45933	0.414643	0.3569
20	0.0040961	0.636697	0.239059	0.0885972	4.5053	0.426333	0.3175
20	0.0040961	0.636697	0.239059	0.078559	4.02279	0.286796	0.3442
20	0.0040961	0.636697	0.239059	0.0978173	4.66836	0.415993	0.0423
21	0.00832172	0.309152	0.250937	0.195308	8.65114	2.2088	0.3601
21	0.00832172	0.309152	0.250937	0.176675	8.49876	1.95622	0.2259
21	0.00832172	0.309152	0.250937	0.172342	8.2138	1.80411	0.4561
21	0.00832172	0.309152	0.250937	0.184218	8.61374	2.17742	0.2173
21	0.00832172	0.309152	0.250937	0.156079	8.52397	1.83783	0.3023
22	0.000275647	0.188705	0.0516018	0.0442643	2.13274	0.0153988	0.5032
22	0.000275647	0.188705	0.0516018	0.0448718	2.12064	0.0115148	0.1818
22	0.000275647	0.188705	0.0516018	0.0350769	2.24613	0.0172927	0.1441
22	0.000275647	0.188705	0.0516018	0.0530918	2.08904	0.0268317	0.4925
22	0.000275647	0.188705	0.0516018	0.0510856	2.07508	0.0192315	0.2495
23	0.00237646	0.144651	0.177042	0.0969011	3.43926	0.284522	0.1081
23	0.00237646	0.144651	0.177042	0.07333	3.25171	0.206458	0.3659
23	0.00237646	0.144651	0.177042	0.0845139	3.44609	0.228332	0.0591
23	0.00237646	0.144651	0.177042	0.084	3.34523	0.218793	0.4265
23	0.00237646	0.144651	0.177042	0.0965551	3.51982	0.267792	0.5398
24	0.000736599	0.661672	0.101904	0.0515524	2.41075	0.0480612	0.2318
24	0.000736599	0.661672	0.101904	0.0576587	2.45068	0.0539457	0.3429
24	0.000736599	0.661672	0.101904	0.0495227	2.39312	0.0518573	0.3554
24	0.000736599	0.661672	0.101904	0.0508571	2.52177	0.048052	0.4082
24	0.000736599	0.661672	0.101904	0.0449119	2.51211	0.0384408	0.5083
25	0.00201897	0.74546	0.174143	0.0628513	3.07924	0.148746	0.0965
25	0.00201897	0.74546	0.174143	0.0633299	3.08342	0.109436	0.2633
25	0.00201897	0.74546	0.174143	0.0696111	3.45298	0.182443	0.0642
25	0.00201897	0.74546	0.174143	0.0673126	3.01941	0.132616	0.2855
25	0.00201897	0.74546	0.174143	0.0781099	3.35543	0.188876	0.562
26	0.00831841	0.553651	0.15771	0.227221	12.1149	3.99854	0.2034
26	0.00831841	0.553651	0.15771	0.255797	11.2492	3.77344	0.3823
26	0.00831841	0.553651	0.15771	0.237246	11.2634	3.6274	0.2845
26	0.00831841	0.553651	0.15771	0.226401	10.9112	3.37621	0.2066
26	0.00831841	0.553651	0.15771	0.221483	10.6228	3.22258	0.1069
27	0.00455732	0.12904	0.127631	0.200222	5.90876	1.60482	0.1615
27	0.00455732	0.12904	0.127631	0.191901	6.1363	1.62109	0.3322
27	0.00455732	0.12904	0.127631	0.197825	6.33138	1.73671	0.26
27	0.00455732	0.12904	0.127631	0.185279	6.0914	1.53101	0.456
27	0.00455732	0.12904	0.127631	0.200886	6.01779	1.64209	0.4517
28	0.00264159	0.115627	0.29905	0.0713253	3.31815	0.142261	0.4185
28	0.00264159	0.115627	0.29905	0.0565262	2.98484	0.100008	0.3065
28	0.00264159	0.115627	0.29905	0.0632974	3.23746	0.121044	0.2936
28	0.00264159	0.115627	0.29905	0.0739261	3.12326	0.103916	0.5565
28	0.00264159	0.115627	0.29905	0.0563158	2.9291	0.0998119	0.238
29	0.00757428	0.344328	0.0784466	0.343546	11.0865	5.07626	0.1074
29	0.00757428	0.344328	0.0784466	0.344976	10.9429	4.8401	0.0581
29	0.00757428	0.344328	0.0784466	0.347826	11.8005	5.41437	0.0236
29	0.00757428	0.344328	0.0784466	0.343249	10.7286	4.71667	0.1585
29	0.00757428	0.344328	0.0784466	0.36126	11.1935	5.15017	0.1533
30	0.00615092	0.362742	0.0497113	0.383148	9.08008	4.53139	0.1447
30	0.00615092	0.362742	0.0497113	0.370091	8.38331	4.05657	0.1357
30	0.00615092	0.362742	0.0497113	0.399487	9.05731	4.59314	0.1006
30	0.00615092	0.362742	0.0497113	0.391069	9.29535	4.54379	0.1936
30	0.00615092	0.362742	0.0497113	0.381594	9.25713	4.50233	0.0667
31	0.000928344	0.579309	0.181894	0.0427553	2.34029	0.017307	0.1594
31	0.000928344	0.579309	0.181894	0.0497207	2.59425	0.0307923	0.0538
31	0.000928344	0.579309	0.181894	0.0429983	2.45387	0.0269656	0.474
31	0.000928344	0.579309	0.181894	0.0447761	2.58847	0.0364844	0.2229
31	0.000928344	0.579309	0.181894	0.0485054	2.56024	0.0327989	0.3513
32	0.00415312	0.578874	0.174037	0.114512	5.41315	0.756264	0.2376
32	0.00415312	0.578874	0.174037	0.124076	5.30679	0.794384	0.1924
32	0.00415312	0.578874	0.174037	0.128481	5.5652	0.809904	0.0767
32	0.00415312	0.578874	0.174037	0.117647	5.03811	0.640617	0.2529
32	0.00415312	0.578874	0.174037	0.120096	4.9052	0.614109	0.1325
33	0.00680854	0.136554	0.267669	0.154393	6.68934	1.36399	0.592
33	0.00680854	0.136554	0.267669	0.16744	6.51659	1.44235	0.6278
33	0.00680854	0.136554	0.267669	0.157106	6.09169	1.17984	0.2493
33	0.00680854	0.136554	0.267669	0.140761	6.54853	1.22101	0.2959
33	0.00680854	0.136554	0.267669	0.156417	6.56432	1.3448	0.4145
34	0.000622506	0.00830671	0.295888	0.033796	2.2338	0.00383156	0.3191
34	0.000622506	0.00830671	0.295888	0.0350657	2.15006	0.00575396	0.2401
34	0.000622506	0.00830671	0.295888	0.0411043	2.18178	0.00770268	0.195
34	0.000622506	0.00830671	0.295888	0.0471106	2.2004	0.00192175	0.3471
34	0.000622506	0.00830671	0.295888	0.0390921	2.20636	0.00384719	0.2573
35	0.00791632	0.168302	0.185705	0.212416	7.85827	2.22081	0.4561
35	0.00791632	0.168302	0.185705	0.21852	8.08761	2.54742	0.3506
35	0.00791632	0.168302	0.185705	0.2303	9.48669	2.92664	0.3673
35	0.00791632	0.168302	0.185705	0.214574	8.59031	2.58188	0.3792
35	0.00791632	0.168302	0.185705	0.213947	9.07986	2.78861	0.3497
36	0.003535	0.336605	0.21901	0.0909864	4.26648	0.364985	0.3831
36	0.003535	0.336605	0.21901	0.0992334	4.33787	0.410313	0.2781
36	0.003535	0.336605	0.21901	0.0926609	4.43016	0.381811	0.3438
36	0.003535	0.336605	0.21901	0.091944	4.17944	0.397124	0.2547
36	0.003535	0.336605	0.21901	0.083004	4.12057	0.302586	0.0663
37	0.00224024	0.748804	0.123224	0.0819367	3.63969	0.26369	0.1799
37	0.00224024	0.748804	0.123224	0.0863208	3.68142	0.324888	0.2084
37	0.00224024	0.748804	0.123224	0.102012	3.80963	0.364466	0.2767
37	0.00224024	0.748804	0.123224	0.08305	3.46848	0.283259	0.4965
37	0.00224024	0.748804	0.123224	0.0869163	3.80388	0.345284	0.1818
38	0.00121683	0.694466	0.216478	0.0505772	2.59137	0.0345516	0.3101
38	0.00121683	0.694466	0.216478	0.0418272	2.64142	0.0383649	0.2378
38	0.00121683	0.694466	0.216478	0.0464986	2.58882	0.0249664	0.3257
38	0.00121683	0.694466	0.216478	0.0390995	2.42376	0.0269521	0.4593
38	0.00121683	0.694466	0.216478	0.0443571	2.59019	0.0211522	0.2801
39	0.00697023	0.0448198	0.247644	0.173702	6.28991	1.43687	0.586
39	0.00697023	0.0448198	0.247644	0.160794	6.42272	1.35873	0.504
39	0.00697023	0.0448198	0.247644	0.15981	6.29559	1.4453	0.5443
39	0.00697023	0.0448198	0.247644	0.183702	6.35821	1.65615	0.388
39	0.00697023	0.0448198	0.247644	0.146521	6.1861	1.32108	0.0645
40	0.00415506	0.191799	0.208929	0.115878	4.8288	0.648703	0.3251
40	0.00415506	0.191799	0.208929	0.115307	4.80022	0.604827	0.3405
40	0.00415506	0.191799	0.208929	0.1154	4.62367	0.615084	0.3638
40	0.00415506	0.191799	0.208929	0.101848	4.54808	0.515821	0.3607
40	0.00415506	0.191799	0.208929	0.115859	4.66388	0.602099	0.3017
41	0.00462601	0.0416811	0.0982625	0.247144	6.23345	2.19485	0.2742
41	0.00462601	0.0416811	0.0982625	0.239153	6.25397	2.05518	0.3177
41	0.00462601	0.0416811	0.0982625	0.2493	6.35407	2.22392	0.6905
41	0.00462601	0.0416811	0.0982625	0.245536	6.39122	2.19975	0.4552
41	0.00462601	0.0416811	0.0982625	0.256098	6.17381	2.13997	0.3823
42	0.00513757	0.0469383	0.269958	0.142077	5.12208	0.847262	0.4685
42	0.00513757	0.0469383	0.269958	0.116757	5.02402	0.695752	0.2566
42	0.00513757	0.0469383	0.269958	0.112933	5.27273	0.706734	0.4635
42	0.00513757	0.0469383	0.269958	0.130691	4.95603	0.77768	0.4562
42	0.00513757	0.0469383	0.269958	0.121225	4.48591	0.734827	0.2777
43	0.0052528	0.733121	0.12254	0.19568	7.77251	2.11031	0.2402
43	0.0052528	0.733121	0.12254	0.207763	7.65682	2.07691	0.2882
43	0.0052528	0.733121	0.12254	0.194273	7.5594	2.05762	0.1399
43	0.0052528	0.733121	0.12254	0.161943	6.69516	1.59583	0.0674
43	0.0052528	0.733121	0.12254	0.217245	8.21675	2.41692	0.0923
44	0.0021251	0.287276	0.0150683	0.264677	3.71002	1.38288	0.2762
44	0.0021251	0.287276	0.0150683	0.272818	3.77525	1.46411	0.4144
44	0.0021251	0.287276	0.0150683	0.277857	3.95912	1.57023	0.3599
44	0.0021251	0.287276	0.0150683	0.274264	3.82645	1.46802	0.3614
44	0.0021251	0.287276	0.0150683	0.280558	3.98368	1.59156	0.2185
45	0.0028532	0.342995	0.236671	0.0836782	3.69306	0.206873	0.2712
45	0.0028532	0.342995	0.236671	0.0763923	3.35075	0.182524	0.1222
45	0.0028532	0.342995	0.236671	0.073193	3.66793	0.15171	0.304
45	0.0028532	0.342995	0.236671	0.0815765	3.75353	0.213334	0.541
45	0.0028532	0.342995	0.236671	0.0658144	3.54474	0.169071	0.3183
46	0.00283943	0.253654	0.138231	0.112124	4.05231	0.481501	0.1977
46	0.00283943	0.253654	0.138231	0.125215	4.34022	0.611245	0.1678
46	0.00283943	0.253654	0.138231	0.111163	3.96828	0.421462	0.3308
46	0.00283943	0.253654	0.138231	0.101887	3.74851	0.451281	0.3167
46	0.00283943	0.253654	0.138231	0.102105	4.08022	0.422622	0.431
47	0.00299702	0.523251	0.195496	0.0925129	4.17323	0.33432	0.3554
47	0.00299702	0.523251	0.195496	0.0822989	3.80868	0.261342	0.2829
47	0.00299702	0.523251	0.195496	0.0669704	3.75208	0.270058	0.2754
47	0.00299702	0.523251	0.195496	0.0806969	3.77838	0.242648	0.1706
47	0.00299702	0.523251	0.195496	0.0879567	3.88677	0.258735	0.2347
48	0.00820517	0.26952	0.241331	0.189495	8.48374	2.0984	0.4013
48	0.00820517	0.26952	0.241331	0.166219	8.20437	1.96037	0.3315
48	0.00820517	0.26952	0.241331	0.182927	8.19461	1.90465	0.3184
48	0.00820517	0.26952	0.241331	0.182048	8.76987	2.08806	0.2968
48	0.00820517	0.26952	0.241331	0.184458	8.97211	2.22424	0.2644
49	0.00674335	0.0279446	0.145737	0.243686	6.98203	2.37289	0.5268
49	0.00674335	0.0279446	0.145737	0.254182	6.92314	2.48202	0.6381
49	0.00674335	0.0279446	0.145737	0.245495	7.9386	2.67424	0.5155
49	0.00674335	0.0279446	0.145737	0.249853	8.12745	2.90541	0.6177
49	0.00674335	0.0279446	0.145737	0.277557	7.63739	2.7921	0.5132
50	0.000789825	0.264546	0.263873	0.0418605	2.3745	0.00961335	0.5176
50	0.000789825	0.264546	0.263873	0.0433474	2.34939	0.0192415	0.3329
50	0.000789825	0.264546	0.263873	0.0293941	2.31615	0.00384423	0.141
50	0.000789825	0.264546	0.263873	0.0467233	2.32411	0.00768935	0.2829
50	0.000789825	0.264546	0.263873	0.0429412	2.29325	0.00962742	0.0667
51	0.000403633	0.52752	0.240261	0.0382372	2.09261	0.00385379	0.379
51	0.000403633	0.52752	0.240261	0.0312891	2.08955	0.00384815	0.4052
51	0.000403633	0.52752	0.240261	0.0358073	2.08671	0.00579643	0.1148
51	0.000403633	0.52752	0.240261	0.0307314	2.17879	0.00191626	0.1954
51	0.000403633	0.52752	0.240261	0.0338442	2.09432	0	0.2903
52	0.00676004	0.509412	0.298144	0.10929	5.67433	0.743387	0.3519
52	0.00676004	0.509412	0.298144	0.127048	6.54531	1.0941	0.0522
52	0.00676004	0.509412	0.298144	0.0980463	5.63721	0.681147	0.3516
52	0.00676004	0.509412	0.298144	0.112803	6.83303	0.948978	0.1926
52	0.00676004	0.509412	0.298144	0.11463	6.02417	0.813818	0.3361
53	0.00700501	0.250729	0.138406	0.257287	9.19967	3.1259	0.2092
53	0.00700501	0.250729	0.138406	0.22302	9.01992	2.72906	0.3033
53	0.00700501	0.250729	0.138406	0.247212	9.44608	3.2454	0.3173
53	0.00700501	0.250729	0.138406	0.248944	9.28324	3.06358	0.1676
53	0.00700501	0.250729	0.138406	0.224299	8.91394	2.77537	0.2601
54	0.00321937	0.0114714	0.0119229	0.31487	3.36239	1.45749	0.3334
54	0.00321937	0.0114714	0.0119229	0.337101	3.51814	1.53256	0.3934
54	0.00321937	0.0114714	0.0119229	0.328685	3.47264	1.51495	0.4553
54	0.00321937	0.0114714	0.0119229	0.333498	3.53029	1.52095	0.1311
54	0.00321937	0.0114714	0.0119229	0.323031	3.43845	1.4651	0.2971
