Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.000717744	0.0503934	0.0472674	2.42846	0.134807	0.2181
0	0.000717744	0.0503934	0.0472674	2.44113	0.103633	0.269
0	0.000717744	0.0503934	0.0472674	2.54777	0.178421	0.2803
0	0.000717744	0.0503934	0.0472674	2.34616	0.124796	0.1712
0	0.000717744	0.0503934	0.0472674	2.51173	0.126449	0.218
1	0.00469703	0.323212	0.293825	4.23753	0.33439	0.5251
1	0.00469703	0.323212	0.293825	4.15121	0.263294	0.3928
1	0.00469703	0.323212	0.293825	4.4572	0.424404	0.3068
1	0.00469703	0.323212	0.293825	4.34257	0.343643	0.2227
1	0.00469703	0.323212	0.293825	4.49306	0.297349	0.2738
2	0.00508092	0.306143	0.193745	5.30593	0.745334	0.4063
2	0.00508092	0.306143	0.193745	5.55075	0.934094	0.2142
2	0.00508092	0.306143	0.193745	5.40515	0.855062	0.2386
2	0.00508092	0.306143	0.193745	5.31766	0.715286	0.3877
2	0.00508092	0.306143	0.193745	5.83421	1.00774	0.3313
3	0.00354048	0.480752	0.123099	5.11951	0.803174	0.2844
3	0.00354048	0.480752	0.123099	4.78444	0.722361	0.2905
3	0.00354048	0.480752	0.123099	4.72104	0.679645	0.2979
3	0.00354048	0.480752	0.123099	5.09078	0.76929	0.3013
3	0.00354048	0.480752	0.123099	5.11343	0.761328	0.2358
4	0.00945105	0.244547	0.227269	8.63315	2.10255	0.3246
4	0.00945105	0.244547	0.227269	8.03738	1.98435	0.3102
4	0.00945105	0.244547	0.227269	9.06787	2.3884	0.4307
4	0.00945105	0.244547	0.227269	8.92648	2.27058	0.3777
4	0.00945105	0.244547	0.227269	9.52536	2.53254	0.3808
5	0.00501005	0.306749	0.0533245	6.77232	2.51998	0.3474
5	0.00501005	0.306749	0.0533245	7.03606	2.88467	0.3018
5	0.00501005	0.306749	0.0533245	6.97024	2.66363	0.3073
5	0.00501005	0.306749	0.0533245	7.28219	3.02577	0.2691
5	0.00501005	0.306749	0.0533245	6.96243	2.87231	0.3666
6	0.00453753	0.266325	0.0265564	5.8113	2.68229	0.2411
6	0.00453753	0.266325	0.0265564	5.70197	2.6086	0.1815
6	0.00453753	0.266325	0.0265564	5.6938	2.69545	0.2299
6	0.00453753	0.266325	0.0265564	5.65138	2.66321	0.2506
6	0.00453753	0.266325	0.0265564	6.00938	2.924	0.0479
7	0.000720197	0.366954	0.236705	2.38662	0.0172804	0.1505
7	0.000720197	0.366954	0.236705	2.29127	0.00961908	0.0382
7	0.000720197	0.366954	0.236705	2.31802	0.011542	0.0764
7	0.000720197	0.366954	0.236705	2.18919	0.0115525	0.23
7	0.000720197	0.366954	0.236705	2.30698	0.00963651	0.0758
8	0.00143098	0.376078	0.0341191	3.33173	0.569067	0.2684
8	0.00143098	0.376078	0.0341191	3.3391	0.616715	0.3266
8	0.00143098	0.376078	0.0341191	3.45839	0.682476	0.1436
8	0.00143098	0.376078	0.0341191	3.49386	0.746355	0.1499
8	0.00143098	0.376078	0.0341191	3.33942	0.569067	0.5107
9	0.00610876	0.668134	0.0297463	7.19492	3.75613	0.0491
9	0.00610876	0.668134	0.0297463	7.32271	3.90775	0.1656
9	0.00610876	0.668134	0.0297463	6.96548	3.65572	0.1082
9	0.00610876	0.668134	0.0297463	7.57442	4.02409	0.0375
9	0.00610876	0.668134	0.0297463	7.31071	3.87308	0.1289
10	0.00122884	0.357581	0.114744	2.76508	0.0902492	0.4818
10	0.00122884	0.357581	0.114744	2.81709	0.101362	0.2865
10	0.00122884	0.357581	0.114744	2.7123	0.0921376	0.236
10	0.00122884	0.357581	0.114744	2.73532	0.0919435	0.3743
10	0.00122884	0.357581	0.114744	2.85373	0.102125	0.4277
11	0.00195897	0.306372	0.232077	2.95778	0.0915367	0.2044
11	0.00195897	0.306372	0.232077	2.87193	0.0577078	0.2589
11	0.00195897	0.306372	0.232077	2.65282	0.0592916	0.0736
11	0.00195897	0.306372	0.232077	2.86465	0.0671102	0.2872
11	0.00195897	0.306372	0.232077	2.8053	0.076963	0.2081
12	0.00415802	0.441604	0.131293	5.14578	0.905134	0.351
12	0.00415802	0.441604	0.131293	5.35776	0.909301	0.1415
12	0.00415802	0.441604	0.131293	5.21059	0.837383	0.2952
12	0.00415802	0.441604	0.131293	5.66939	0.918998	0.1795
