number	T1	density	k	density
1	3.95069e-05	9.59559e-30	0.0100284	5.87875e-22
2	0.000140077	2.10776e-26	0.010937	5.81251e-21
3	0.000240648	2.99368e-23	0.0118455	5.42645e-20
4	0.000341218	2.75137e-20	0.0127541	4.78505e-19
5	0.000441789	1.63868e-17	0.0136626	3.98696e-18
6	0.000542359	6.34065e-15	0.0145712	3.14024e-17
7	0.00064293	1.60011e-12	0.0154798	2.3391e-16
8	0.0007435	2.64782e-10	0.0163883	1.6486e-15
9	0.00084407	2.8927e-08	0.0172969	1.1e-14
10	0.000944641	2.10218e-06	0.0182055	6.95212e-14
11	0.00104521	0.000102329	0.019114	4.16417e-13
12	0.00114578	0.00335202	0.0200226	2.36518e-12
13	0.00124635	0.0739807	0.0209311	1.27452e-11
14	0.00134692	1.09776	0.0218397	6.51896e-11
15	0.00144749	10.9076	0.0227483	3.16617e-10
16	0.00154806	72.2997	0.0236568	1.46066e-09
17	0.00164863	319.109	0.0245654	6.40199e-09
18	0.0017492	938.972	0.0254739	2.66615e-08
19	0.00184977	1849.58	0.0263825	1.05503e-07
20	0.00195035	2453.57	0.0272911	3.96675e-07
21	0.00205092	2204.6	0.0281996	1.4169e-06
22	0.00215149	1345.96	0.0291082	4.80762e-06
23	0.00225206	557.762	0.0300168	1.54939e-05
24	0.00235263	156.097	0.0309253	4.74281e-05
25	0.0024532	29.2856	0.0318339	0.000137916
26	0.00255377	3.65471	0.0327424	0.000381128
27	0.00265434	0.301366	0.033651	0.00100163
28	0.00275491	0.0163388	0.0345596	0.00250612
29	0.00285548	0.000580563	0.0354681	0.00597935
30	0.00295605	1.3498e-05	0.0363767	0.0136331
31	0.00305662	2.05283e-07	0.0372852	0.0297845
32	0.00315719	2.04388e-09	0.0381938	0.0625464
33	0.00325776	1.33465e-11	0.0391024	0.126669
34	0.00335833	5.73136e-14	0.0400109	0.248169
35	0.0034589	1.62393e-16	0.0409195	0.471489
36	0.00355947	3.04694e-19	0.0418281	0.86971
37	0.00366004	3.79835e-22	0.0427366	1.55727
38	0.00376061	3.15361e-25	0.0436452	2.70235
39	0.00386118	1.74541e-28	0.0445537	4.5326
40	0.00396175	6.4341e-32	0.0454623	7.32456
41	0.00406232	1.57578e-35	0.0463709	11.3665
42	0.0041629	2.55472e-39	0.0472794	16.8897
43	0.00426347	2.73046e-43	0.048188	23.9764
44	0.00436404	1.91598e-47	0.0490966	32.4685
45	0.00446461	8.79436e-52	0.0500051	41.9155
46	0.00456518	2.6321e-56	0.0509137	51.5976
47	0.00466575	5.12328e-61	0.0518222	60.6371
48	0.00476632	6.47155e-66	0.0527308	68.1762
49	0.00486689	5.29545e-71	0.0536394	73.5639
50	0.00496746	2.80264e-76	0.0545479	76.4838
51	0.00506803	9.58119e-82	0.0554565	76.9755
52	0.0051686	2.11316e-87	0.056365	75.3487
53	0.00526917	3.00347e-93	0.0572736	72.0355
54	0.00536974	2.74821e-99	0.0581822	67.449
55	0.00547031	1.61736e-105	0.0590907	61.9043
56	0.00557088	6.11674e-112	0.0599993	55.6199
57	0.00567145	1.48543e-118	0.0609079	48.775
58	0.00577202	2.31471e-125	0.0618164	41.5778
59	0.00587259	2.31308e-132	0.062725	34.3027
60	0.00597316	1.48147e-139	0.0636335	27.2779
61	0.00607373	6.07858e-147	0.0645421	20.8338
62	0.0061743	1.59712e-154	0.0654507	15.2388
63	0.00627487	2.68624e-162	0.0663592	10.6511
64	0.00637544	2.89133e-170	0.0672678	7.1018
65	0.00647601	1.99105e-178	0.0681763	4.51185
66	0.00657659	8.77017e-187	0.0690849	2.72891
67	0.00667716	2.47055e-195	0.0699935	1.57049
68	0.00677773	4.45014e-204	0.070902	0.859742
69	0.0068783	5.12497e-213	0.0718106	0.447662
70	0.00697887	3.77312e-222	0.0727192	0.221734
71	0.00707944	1.77567e-231	0.0736277	0.104507
72	0.00718001	5.34123e-241	0.0745363	0.0468927
73	0.00728058	1.02686e-250	0.0754448	0.0200461
74	0.00738115	1.26168e-260	0.0763534	0.00817203
75	0.00748172	9.90677e-271	0.077262	0.00318078
76	0.00758229	4.97102e-281	0.0781705	0.00118381
77	0.00768286	1.59395e-291	0.0790791	0.000422018
78	0.00778343	3.26591e-302	0.0799876	0.000144386
79	0.007884	4.27588e-313	0.0808962	4.75087e-05
80	0.00798457	0	0.0818048	1.50652e-05
81	0.00808514	0	0.0827133	4.61267e-06
82	0.00818571	0	0.0836219	1.36574e-06
83	0.00828628	0	0.0845305	3.91418e-07
84	0.00838685	0	0.085439	1.08617e-07
85	0.00848742	0	0.0863476	2.91727e-08
86	0.00858799	0	0.0872561	7.57593e-09
87	0.00868856	0	0.0881647	1.89949e-09
88	0.00878914	0	0.0890733	4.58997e-10
89	0.0088897	0	0.0899818	1.06689e-10
90	0.00899028	0	0.0908904	2.38083e-11
91	0.00909085	0	0.0917989	5.0913e-12
92	0.00919142	0	0.0927075	1.04151e-12
93	0.00929199	0	0.0936161	2.03488e-13
94	0.00939256	0	0.0945246	3.7915e-14
95	0.00949313	0	0.0954332	6.72812e-15
96	0.0095937	0	0.0963418	1.13568e-15
97	0.00969427	0	0.0972503	1.82141e-16
98	0.00979484	0	0.0981589	2.77274e-17
99	0.00989541	0	0.0990674	4.00276e-18
100	0.00999598	0	0.099976	5.47522e-19
