Sim	T1	k	Antigen_2016	MF_2016
0	0.000402193	0.0545682	2.35707	0.0203196
0	0.000402193	0.0545682	2.45903	0.0388853
0	0.000402193	0.0545682	2.34175	0.0202829
0	0.000402193	0.0545682	2.42934	0.0258637
0	0.000402193	0.0545682	2.36787	0.0221296
1	0.00615538	0.0510479	17.1858	11.5409
1	0.00615538	0.0510479	17.7575	12.1119
1	0.00615538	0.0510479	17.4012	11.6193
1	0.00615538	0.0510479	17.771	11.9266
1	0.00615538	0.0510479	17.5041	11.7255
2	0.00288648	0.045421	9.81704	4.73348
2	0.00288648	0.045421	10.6198	5.37908
2	0.00288648	0.045421	10.1122	5.04688
2	0.00288648	0.045421	10.6293	5.53312
2	0.00288648	0.045421	11.011	5.74823
3	0.00757759	0.0667188	20.8247	13.9207
3	0.00757759	0.0667188	20.9372	14.0063
3	0.00757759	0.0667188	21.5656	14.4167
3	0.00757759	0.0667188	21.0988	13.9293
3	0.00757759	0.0667188	20.8223	13.5868
4	0.00467791	0.0899798	13.2553	5.42976
4	0.00467791	0.0899798	13.7705	5.65732
4	0.00467791	0.0899798	13.1631	5.32871
4	0.00467791	0.0899798	13.7849	5.79058
4	0.00467791	0.0899798	13.9361	5.92747
5	0.0062643	0.0800483	19.2995	11.3538
5	0.0062643	0.0800483	18.8022	10.4818
5	0.0062643	0.0800483	19.7354	11.4021
5	0.0062643	0.0800483	19.1784	11.0661
5	0.0062643	0.0800483	19.5359	11.2908
6	0.00317164	0.076657	9.03226	2.60829
6	0.00317164	0.076657	8.2939	2.17475
6	0.00317164	0.076657	9.24095	2.93033
6	0.00317164	0.076657	9.36087	2.88836
6	0.00317164	0.076657	8.85284	2.62245
7	0.00630553	0.0136782	8.11211	6.00643
7	0.00630553	0.0136782	8.16421	6.09779
7	0.00630553	0.0136782	7.96663	5.85315
7	0.00630553	0.0136782	8.07995	5.95947
7	0.00630553	0.0136782	8.24847	6.09903
8	0.00643887	0.0662092	19.5077	12.388
8	0.00643887	0.0662092	18.3915	11.4319
8	0.00643887	0.0662092	18.8346	11.6468
8	0.00643887	0.0662092	18.7027	11.5021
8	0.00643887	0.0662092	19.1931	11.8299
9	0.00481435	0.0719513	14.609	7.21152
9	0.00481435	0.0719513	15.7315	8.32593
9	0.00481435	0.0719513	15.3287	8.07933
9	0.00481435	0.0719513	16.0719	8.48802
9	0.00481435	0.0719513	14.8113	7.50152
10	0.00343743	0.0523144	12.102	6.126
10	0.00343743	0.0523144	11.7321	6.03381
10	0.00343743	0.0523144	11.552	5.80002
10	0.00343743	0.0523144	11.7871	5.90095
10	0.00343743	0.0523144	11.9739	6.14123
11	0.00936214	0.0220811	12.5634	9.63311
11	0.00936214	0.0220811	12.4206	9.46175
11	0.00936214	0.0220811	12.3556	9.41525
11	0.00936214	0.0220811	12.331	9.44079
11	0.00936214	0.0220811	12.565	9.50192
12	0.00535049	0.0158036	8.75193	6.44104
12	0.00535049	0.0158036	8.63752	6.37777
12	0.00535049	0.0158036	8.60833	6.31437
12	0.00535049	0.0158036	8.66952	6.3279
12	0.00535049	0.0158036	8.83293	6.47921
13	0.00575021	0.0474452	16.6367	11.0961
13	0.00575021	0.0474452	16.8288	11.2825
13	0.00575021	0.0474452	16.396	10.811
13	0.00575021	0.0474452	16.2674	10.7226
13	0.00575021	0.0474452	16.5375	11.1144
14	0.0024762	0.0900779	5.84812	0.772358
14	0.0024762	0.0900779	5.81008	0.753431
14	0.0024762	0.0900779	6.02332	0.855459
14	0.0024762	0.0900779	6.14779	0.835227
14	0.0024762	0.0900779	5.86529	0.803591
15	0.00889739	0.0217025	12.2246	9.17633
15	0.00889739	0.0217025	12.1467	9.13876
15	0.00889739	0.0217025	12.129	9.20539
15	0.00889739	0.0217025	11.9213	9.06116
15	0.00889739	0.0217025	11.8943	8.92811
16	0.00886112	0.0851038	24.4287	15.6681
16	0.00886112	0.0851038	24.0363	15.4897
16	0.00886112	0.0851038	24.6337	15.9697
16	0.00886112	0.0851038	25.3638	16.7836
16	0.00886112	0.0851038	24.605	16.0248
17	0.00630853	0.0951195	18.0894	8.98822
17	0.00630853	0.0951195	18.1783	9.19517
17	0.00630853	0.0951195	16.2585	7.50489
17	0.00630853	0.0951195	19.1359	10.0751
17	0.00630853	0.0951195	19.2542	9.82312
18	0.00716178	0.0615183	20.1782	13.4361
18	0.00716178	0.0615183	20.0833	13.5303
18	0.00716178	0.0615183	20.2942	13.6115
18	0.00716178	0.0615183	20.2915	13.4852
18	0.00716178	0.0615183	20.2354	13.457
19	0.00285645	0.0437794	10.4239	5.39591
19	0.00285645	0.0437794	10.6584	5.49129
19	0.00285645	0.0437794	10.8327	5.84692
19	0.00285645	0.0437794	10.5675	5.55812
19	0.00285645	0.0437794	10.181	5.10526
20	0.00148221	0.0291374	6.12801	2.54659
20	0.00148221	0.0291374	6.00476	2.20101
20	0.00148221	0.0291374	6.36768	2.65905
20	0.00148221	0.0291374	5.72764	2.23121
20	0.00148221	0.0291374	6.0041	2.37985
21	0.00496277	0.041732	14.2152	9.2395
21	0.00496277	0.041732	15.2141	10.1207
21	0.00496277	0.041732	15.0545	9.96119
21	0.00496277	0.041732	14.3912	9.456
21	0.00496277	0.041732	14.8613	9.99075
22	0.00260526	0.0978937	6.10429	0.795648
22	0.00260526	0.0978937	5.35278	0.512166
22	0.00260526	0.0978937	6.80513	1.07634
22	0.00260526	0.0978937	6.34853	0.870677
22	0.00260526	0.0978937	5.78729	0.688128
23	0.00121724	0.0470415	3.98492	0.441538
23	0.00121724	0.0470415	4.01137	0.442837
23	0.00121724	0.0470415	4.6194	0.751393
23	0.00121724	0.0470415	4.21198	0.552029
23	0.00121724	0.0470415	4.31929	0.615725
24	0.00973969	0.0110694	7.76392	5.91501
24	0.00973969	0.0110694	7.49899	5.62055
24	0.00973969	0.0110694	7.69729	5.71006
24	0.00973969	0.0110694	7.49293	5.62755
24	0.00973969	0.0110694	7.38024	5.61444
25	0.00630339	0.0692709	18.7674	11.3966
25	0.00630339	0.0692709	20.379	12.9463
25	0.00630339	0.0692709	19.4505	12.019
25	0.00630339	0.0692709	18.7599	11.389
25	0.00630339	0.0692709	18.3206	10.7668
26	0.00173944	0.0861068	4.2986	0.322717
26	0.00173944	0.0861068	4.583	0.369805
26	0.00173944	0.0861068	4.12991	0.260196
26	0.00173944	0.0861068	4.59251	0.359799
26	0.00173944	0.0861068	4.85742	0.47466
27	0.00457566	0.0919172	13.0218	5.08556
27	0.00457566	0.0919172	12.2953	4.50722
27	0.00457566	0.0919172	13.3954	5.38146
27	0.00457566	0.0919172	12.8243	4.89805
27	0.00457566	0.0919172	12.8414	4.787
28	0.00609091	0.0802947	18.9481	10.9049
28	0.00609091	0.0802947	17.9113	9.84253
28	0.00609091	0.0802947	18.2462	10.138
28	0.00609091	0.0802947	18.3469	10.2764
28	0.00609091	0.0802947	18.4884	10.3031
29	0.00825235	0.0408587	18.0137	13.2952
29	0.00825235	0.0408587	17.907	13.0365
29	0.00825235	0.0408587	17.9515	13.1211
29	0.00825235	0.0408587	17.733	12.8526
29	0.00825235	0.0408587	17.7892	12.9937
30	0.00677389	0.02668	13.3788	9.78716
30	0.00677389	0.02668	13.0453	9.61499
30	0.00677389	0.02668	12.8432	9.44361
30	0.00677389	0.02668	13.3543	10.0009
30	0.00677389	0.02668	12.9209	9.489
31	0.00344564	0.0183218	8.84054	6.22359
31	0.00344564	0.0183218	8.45687	5.74314
31	0.00344564	0.0183218	8.60749	5.94129
31	0.00344564	0.0183218	8.84707	6.22367
31	0.00344564	0.0183218	8.81631	6.12618
32	0.00740443	0.0472413	18.7271	13.2315
32	0.00740443	0.0472413	18.4086	12.9484
32	0.00740443	0.0472413	18.7498	13.3625
32	0.00740443	0.0472413	18.5418	13.1255
32	0.00740443	0.0472413	18.6508	13.0964
