Sim	T1	k	Ratio_2014	Antigen_2016	MF_2016
0	0.00518027	0.0309598	0.422046	8.6771	4.68308
0	0.00518027	0.0309598	0.42183	8.53388	4.53086
0	0.00518027	0.0309598	0.452646	8.40089	4.65383
0	0.00518027	0.0309598	0.435288	8.55025	4.62724
0	0.00518027	0.0309598	0.424258	8.52241	4.59694
1	0.00990348	0.0466059	0.500088	13.2768	7.83401
1	0.00990348	0.0466059	0.484378	13.1763	7.77545
1	0.00990348	0.0466059	0.495114	13.0795	7.66653
1	0.00990348	0.0466059	0.50922	12.9447	7.76754
1	0.00990348	0.0466059	0.48651	13.1893	7.82982
2	0.00508813	0.0509637	0.345682	10.2448	4.68023
2	0.00508813	0.0509637	0.318578	10.1441	4.65382
2	0.00508813	0.0509637	0.324136	9.97883	4.57885
2	0.00508813	0.0509637	0.324371	10.1824	4.43434
2	0.00508813	0.0509637	0.323508	10.0479	4.61382
3	0.000286734	0.0635719	0.0387551	2.22181	0.00369072
3	0.000286734	0.0635719	0.0428907	2.21193	0.0073547
3	0.000286734	0.0635719	0.0412007	2.20762	0.00553751
3	0.000286734	0.0635719	0.0416164	2.20147	0.0073813
3	0.000286734	0.0635719	0.035482	2.12998	0.00184894
4	0.000404343	0.0368658	0.0481253	2.41772	0.0240109
4	0.000404343	0.0368658	0.0445055	2.46868	0.0295208
4	0.000404343	0.0368658	0.0452436	2.35879	0.023919
4	0.000404343	0.0368658	0.0422454	2.29911	0.0166602
4	0.000404343	0.0368658	0.0419463	2.39267	0.0147468
5	0.00915317	0.0814978	0.371476	15.981	8.10113
5	0.00915317	0.0814978	0.334513	15.2296	7.31455
5	0.00915317	0.0814978	0.345219	15.2957	7.40228
5	0.00915317	0.0814978	0.350713	15.4395	7.61929
5	0.00915317	0.0814978	0.363824	15.902	7.83015
6	0.00483111	0.0696055	0.210783	9.24553	2.95952
6	0.00483111	0.0696055	0.235388	9.50955	3.4034
6	0.00483111	0.0696055	0.231805	9.86891	3.44719
6	0.00483111	0.0696055	0.214554	9.42989	2.95941
6	0.00483111	0.0696055	0.236724	9.60324	3.50548
7	0.00628878	0.0811667	0.25364	11.6784	4.31238
7	0.00628878	0.0811667	0.264328	12.0211	4.79068
7	0.00628878	0.0811667	0.26344	11.934	4.71268
7	0.00628878	0.0811667	0.262653	12.0562	4.71891
7	0.00628878	0.0811667	0.247824	11.5212	4.45212
8	0.00289399	0.0979844	0.10154	5.14462	0.525566
8	0.00289399	0.0979844	0.0950292	5.40151	0.512403
8	0.00289399	0.0979844	0.0866943	4.95451	0.382823
8	0.00289399	0.0979844	0.0974304	5.44385	0.5442
8	0.00289399	0.0979844	0.0913552	5.10129	0.506432
9	0.00101587	0.0264471	0.119482	3.67455	0.619492
9	0.00101587	0.0264471	0.118501	3.76214	0.630403
9	0.00101587	0.0264471	0.116604	3.70638	0.553273
9	0.00101587	0.0264471	0.13271	3.74432	0.635132
