number	T1	density	W	density	k	density
1	8.82773e-06	1.01518e-06	0.00480897	0.448851	0.010019	0.707345
2	0.000109712	6.16785e-06	0.0123277	0.52356	0.012945	0.867909
3	0.000210596	3.38805e-05	0.0198464	0.599783	0.0158711	1.05342
4	0.00031148	0.000168352	0.0273652	0.675341	0.0187971	1.26498
5	0.000412364	0.000757244	0.0348839	0.748124	0.0217232	1.50285
6	0.000513248	0.0030859	0.0424027	0.816325	0.0246492	1.76626
7	0.000614132	0.0114066	0.0499214	0.878648	0.0275752	2.05315
8	0.000715015	0.0383015	0.0574401	0.93447	0.0305013	2.36013
9	0.000815899	0.117062	0.0649589	0.983903	0.0334273	2.68248
10	0.000916783	0.326485	0.0724776	1.02777	0.0363534	3.01433
11	0.00101767	0.833612	0.0799963	1.06747	0.0392794	3.34899
12	0.00111855	1.95635	0.0875151	1.10472	0.0422054	3.67941
13	0.00121944	4.23977	0.0950338	1.14133	0.0451315	3.99865
14	0.00132032	8.52915	0.102553	1.17886	0.0480575	4.30051
15	0.0014212	16.0116	0.110071	1.21838	0.0509836	4.58002
16	0.00152209	28.1858	0.11759	1.26031	0.0539096	4.83389
17	0.00162297	46.7059	0.125109	1.30433	0.0568356	5.06088
18	0.00172386	73.0433	0.132628	1.34947	0.0597617	5.26192
19	0.00182474	107.963	0.140146	1.39425	0.0626877	5.44003
20	0.00192562	150.948	0.147665	1.43691	0.0656138	5.59999
21	0.00202651	199.867	0.155184	1.47573	0.0685398	5.74782
22	0.00212739	251.213	0.162702	1.50928	0.0714658	5.88996
23	0.00222827	301.031	0.170221	1.5366	0.0743919	6.03245
24	0.00232916	346.203	0.17774	1.55735	0.0773179	6.18005
25	0.00243004	385.428	0.185259	1.57183	0.080244	6.33552
26	0.00253093	419.319	0.192777	1.58085	0.08317	6.49915
27	0.00263181	449.525	0.200296	1.58561	0.0860961	6.66866
28	0.00273269	477.445	0.207815	1.58748	0.0890221	6.83955
29	0.00283358	503.337	0.215334	1.58777	0.0919481	7.00579
30	0.00293446	526.261	0.222852	1.58757	0.0948742	7.16074
31	0.00303535	544.623	0.230371	1.58758	0.0978002	7.2983
32	0.00313623	556.697	0.23789	1.5881	0.100726	7.41385
33	0.00323711	560.714	0.245409	1.58899	0.103652	7.50501
34	0.003338	554.736	0.252927	1.58978	0.106578	7.57198
35	0.00343888	536.863	0.260446	1.58977	0.109504	7.61738
36	0.00353977	505.981	0.267965	1.58819	0.11243	7.64567
37	0.00364065	462.642	0.275484	1.58431	0.115356	7.66218
38	0.00374153	409.376	0.283002	1.57762	0.118282	7.67195
39	0.00384242	350.127	0.290521	1.56791	0.121209	7.67858
40	0.0039433	289.201	0.29804	1.55531	0.124135	7.68327
41	0.00404419	230.399	0.305558	1.54033	0.127061	7.68425
42	0.00414507	176.678	0.313077	1.52384	0.129987	7.67669
43	0.00424595	130.164	0.320596	1.50701	0.132913	7.65319
44	0.00434684	92.1768	0.328115	1.49123	0.135839	7.60468
45	0.00444772	63.1312	0.335633	1.47798	0.138765	7.52176
46	0.00454861	42.4614	0.343152	1.46881	0.141691	7.39609
47	0.00464949	28.7706	0.350671	1.46515	0.144617	7.22182
48	0.00475037	20.2185	0.35819	1.4683	0.147543	6.99659
49	0.00485126	14.986	0.365708	1.47936	0.150469	6.72215
50	0.00495214	11.6241	0.373227	1.4991	0.153395	6.4043
51	0.00505303	9.1886	0.380746	1.52798	0.156321	6.05228
52	0.00515391	7.18868	0.388265	1.56605	0.159247	5.67766
53	0.00525479	5.44318	0.395783	1.61294	0.162173	5.29285
54	0.00535568	3.93084	0.403302	1.66779	0.165099	4.90965
55	0.00545656	2.6815	0.410821	1.72922	0.168025	4.53789
56	0.00555745	1.71611	0.41834	1.79539	0.170951	4.18444
57	0.00565833	1.02472	0.425858	1.86397	0.173877	3.85288
58	0.00575921	0.568259	0.433377	1.93231	0.176803	3.54353
59	0.0058601	0.2915	0.440896	1.99754	0.179729	3.25418
60	0.00596098	0.137851	0.448414	2.05676	0.182655	2.98097
61	0.00606187	0.059928	0.455933	2.10726	0.185581	2.71959
62	0.00616275	0.023893	0.463452	2.1467	0.188507	2.46626
63	0.00626363	0.00871939	0.470971	2.17334	0.191434	2.21854
64	0.00636452	0.00290792	0.478489	2.18609	0.19436	1.97577
65	0.0064654	0.000885074	0.486008	2.18465	0.197286	1.7391
66	0.00656629	0.000245583	0.493527	2.16945	0.200212	1.51114
67	0.00666717	6.20632e-05	0.501046	2.14155	0.203138	1.29545
68	0.00676805	1.42738e-05	0.508564	2.10253	0.206064	1.09581
69	0.00686894	2.98549e-06	0.516083	2.05427	0.20899	0.915592
70	0.00696982	5.67541e-07	0.523602	1.9988	0.211916	0.757257
71	0.0070707	9.80056e-08	0.531121	1.93803	0.214842	0.622022
72	0.00717159	1.5366e-08	0.538639	1.87369	0.217768	0.509792
73	0.00727247	2.18639e-09	0.546158	1.80714	0.220694	0.419267
74	0.00737336	2.82207e-10	0.553677	1.73936	0.22362	0.348208
75	0.00747424	3.30296e-11	0.561196	1.67092	0.226546	0.293777
76	0.00757512	3.50403e-12	0.568714	1.60201	0.229472	0.252886
