what	T1	W	k
mode	0.00394913	0.272367	0.0862011
mean	0.402032	0.422548	0.322172
median	0.00398719	0.277891	0.0909669
quantile_50_lower_bound	0.00358886	0.186132	0.0714742
quantile_50_upper_bound	0.0044033	0.415741	0.112686
quantile_90_lower_bound	0.00301475	0.068864	0.0435045
quantile_90_upper_bound	0.00506843	0.68842	0.148172
quantile_95_lower_bound	0.00283417	0.0433603	0.0344955
quantile_95_upper_bound	0.00528169	0.716539	0.159581
quantile_99_lower_bound	0.0025031	0.0101505	0.0192044
quantile_99_upper_bound	0.00570754	0.740332	0.182823
HPD_50_lower_bound	0.00360251	0.143886	0.0688068
HPD_50_upper_bound	0.00429574	0.332765	0.106511
HPD_90_lower_bound	0.00311531	0.0449587	0.0426033
HPD_90_upper_bound	0.0049843	0.734281	0.141462
HPD_95_lower_bound	0.00295392	0.0299842	0.0338066
HPD_95_upper_bound	0.00504501	0.749256	0.156091
HPD_99_lower_bound	0.00263216	0.0227807	0.0163488
HPD_99_upper_bound	0.00556812	0.748894	0.173549
