Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.00568634	0.532921	0.252928	5.65195	0.63026	0.3979
0	0.00568634	0.532921	0.252928	5.76973	0.752573	0.2608
0	0.00568634	0.532921	0.252928	5.29016	0.34638	0.5157
0	0.00568634	0.532921	0.252928	5.50361	0.673196	0.1754
0	0.00568634	0.532921	0.252928	5.45146	0.370685	0.0573
1	0.00678768	0.571107	0.291666	5.85421	0.500628	0.0371
1	0.00678768	0.571107	0.291666	6.10052	0.523483	0.296
1	0.00678768	0.571107	0.291666	6.10581	0.617773	0.2032
1	0.00678768	0.571107	0.291666	5.7251	0.446783	0.3901
1	0.00678768	0.571107	0.291666	6.32822	0.611932	0.312
2	0.00902575	0.40154	0.0214244	8.17514	5.22394	0.1114
2	0.00902575	0.40154	0.0214244	8.26959	5.31722	0.015
2	0.00902575	0.40154	0.0214244	8.25927	5.25724	0.0748
2	0.00902575	0.40154	0.0214244	8.1647	5.24213	0.1608
2	0.00902575	0.40154	0.0214244	8.21857	5.35671	0.1017
3	0.00740517	0.360403	0.295593	6.39082	0.611632	0.2946
3	0.00740517	0.360403	0.295593	6.80653	1.01016	0.2393
3	0.00740517	0.360403	0.295593	6.76909	0.66058	0.3334
3	0.00740517	0.360403	0.295593	7.01877	0.791966	0.2261
3	0.00740517	0.360403	0.295593	7.27206	1.12034	0.2722
4	0.00996621	0.557513	0.200748	13.2606	3.61737	0.1929
4	0.00996621	0.557513	0.200748	11.6928	3.12979	0.2082
4	0.00996621	0.557513	0.200748	11.7767	2.88752	0.0714
4	0.00996621	0.557513	0.200748	12.1419	3.09962	0.1338
4	0.00996621	0.557513	0.200748	13.0096	3.52694	0.2149
5	0.00772033	0.746207	0.156176	10.1052	2.61657	0.1627
5	0.00772033	0.746207	0.156176	9.52733	2.29772	0.1119
5	0.00772033	0.746207	0.156176	10.1564	2.38812	0.212
5	0.00772033	0.746207	0.156176	9.62855	2.59351	0.1879
5	0.00772033	0.746207	0.156176	9.94174	2.77444	0.1559
