X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316
1,0,362,24907,24712,24289,23726,27893,29873,30172,29064,29270,28778,27740,27598,27228,26806,26236,26996,25708,26390,26159,26409,25904,26057,25186,25696,25230,24980,25302,24688,24549,24850,25416,25114,24802,24447,24894,29287,29090,6754,4570,4862,5081,4979,11879,11509,11570,11800,11955,12367,13295,12607,12916,12813,12499,12378,8022,2787,14880,14417,15450,7985,15038,8007,14115,14626,14085,14382,13735,15336,13311,13655,24351,23121,23463,22256,22589,22843,23127,22616,16406,26038,26150,25154,25494,26383,25832,25673,25376,24811,30911,30783,31908,31556,32227,31354,31074,33990,34099,34073,33470,31732,31915,31838,32218,31641,31808,32189,32493,32149,27808,26798,27422,25962,27673,24828,25777,25963,27972,25284,27313,24396,27144,22101,21260,21494,21650,21832,19199,20533,21068,21420,20843,20637,19652,21274,20575,20393,19834,19579,18892,19297,18344,19161,14493,14738,14673,14972,14521,13573,15238,10524,11510,10769,7185,7441,7723,5359,5584,6371,5320,3994,3793,3609,2886,2375,2789,2668,4203,3965,3756,5623,7486,10370,10843,12137,12506,15598,16158,25321,25977,26493,26771,26406,26329,30794,33557,33972,33373,16408,15813,16338,16264,16258,15668,16489,16303,16649,16751,16395,16804,10096,10410,10111,26239,25769,25439,25465,25252,25143,25641,25624,25647,24476,26037,25335,26145,24940,25417,25869,25603,25977,25291,25770,24662,24524,25011,25672,25527,25551,25014,24200,24128,24567,25122,23965,24194,23612,23782,24411,23293,24765,23369,23955,23030,24534,23737,22316,24441,23176,23417,22939,24217,23385,23037,22479,22625,21464,23146,23469,21901,22741,23142,22527,21446,22889,22768,22858,21416,34026,27575,27192,26904,27029,26199,25315,26042,25637,25852,28775,28928,29164,29546,17759,18672,18779,18494,31543,31166,31986,31381,30360,30539,29858,30415,29989,31350,31639,30134,29685,30916,30024,29715,30150,31063,30524,31219,30410,30788,30632,30241,30700,30655,30250,30388,29810
2,362,0,24544,24350,23927,23363,27531,29511,29810,28702,28907,28416,27377,27235,26866,26443,25874,26634,25345,26028,25797,26047,25541,25694,24824,25334,24867,24617,24940,24326,24187,24487,25054,24752,24439,24084,24531,28924,28727,7068,4884,5176,5395,5294,11517,11382,11884,12114,12269,12681,13609,12921,13230,13128,12813,12692,8336,3101,15194,14731,15764,8299,15352,8321,14429,14941,14399,14696,14049,15650,13067,13828,23988,22759,23101,21893,22226,22481,22765,22254,16044,25676,25787,24792,25131,26021,25470,25310,25014,24448,30549,30420,31545,31193,31864,30992,30712,33627,33736,33711,33108,31369,31553,31476,31856,31278,31445,31827,32131,31787,27446,26436,27059,25599,27310,24466,25415,25600,27609,24921,26950,24033,26782,21739,20898,21132,21287,21469,18836,20170,20705,21058,20481,20274,19290,20911,20212,20031,19471,19216,18529,18935,17981,18798,14131,14376,14310,14609,14158,13211,14876,10162,11148,10407,7499,7755,8037,5673,5898,6685,5635,4308,4107,3923,3200,2689,3104,2982,4517,4280,4070,5937,7800,10684,11157,12451,12820,15912,16472,24958,25614,26131,26408,26044,25966,30432,33194,33609,33011,16253,16127,16652,16578,16572,15982,16803,16617,16963,17066,16709,17118,9734,10048,10299,25877,25407,25077,25103,24890,24781,25279,25262,25285,24114,25674,24972,25782,24577,25055,25506,25241,25615,24929,25407,24299,24161,24648,25309,25165,25189,24651,23837,23765,24205,24759,23602,23832,23250,23419,24049,22930,24403,23007,23593,22667,24171,23374,21954,24079,22813,23055,22576,23854,23022,22674,22117,22262,21101,22784,23107,21539,22378,22780,22164,21084,22526,22406,22496,21054,33664,27213,26830,26542,26667,25837,24953,25680,25274,25490,28413,28565,28802,29183,17396,18309,18417,18132,31181,30804,31624,31019,29998,30177,29495,30053,29626,30987,31277,29772,29323,30554,29662,29353,29788,30701,30162,30856,30048,30426,30270,29878,30338,30293,29887,30026,29448
3,24907,24544,0,245,618,1181,2986,4966,5266,4157,4363,3871,2833,2691,2321,1899,1373,2090,1194,1484,1252,1502,997,1150,1029,790,752,983,535,805,1206,468,509,232,582,908,1297,4380,4183,23459,23653,23772,23946,24439,13027,13398,13911,14028,14253,14742,14245,14980,14684,15019,15483,15097,19028,24396,12832,13638,11902,18336,12561,17664,10874,10835,11281,11007,11698,10919,11596,11251,618,1786,1444,2651,2318,2063,1779,2291,8500,1131,1243,1178,1607,1477,926,766,793,1138,6004,5876,7001,6649,7320,6447,6167,9083,9192,9166,8563,6825,7009,6932,7311,6734,6901,7282,7586,7243,2901,3415,2931,3858,2766,4711,3795,3668,3065,3834,2504,4628,2237,2805,3647,3412,3257,3075,5708,4374,3839,3487,4064,4270,5255,3633,4332,4513,5073,5328,6015,5610,6563,5746,10413,10169,10234,9935,10386,11333,9668,14383,13397,14138,20863,20561,19944,21194,20981,21102,20849,21722,22867,23308,27017,25878,26127,26603,27276,27502,27269,25849,22280,19881,20176,17024,17334,15850,15948,2497,3037,3745,4175,4633,3321,9934,9633,9576,10169,8498,9453,8869,9122,9492,10565,9665,10154,9974,10357,11063,10641,14810,14497,14795,3449,3446,3316,3556,3587,3707,3153,2888,2760,3818,2090,2921,1952,3493,2650,2402,2499,1889,2601,2149,3157,3445,3124,2027,2243,2013,2672,3249,3861,2925,2340,2914,2863,3430,3206,2488,3499,1882,3264,2462,3160,1902,2696,3975,1366,2962,2898,2793,1635,1665,2480,2829,2626,3443,2112,2047,3132,2199,2290,2380,3461,2018,2138,2049,3491,9119,4310,4653,4734,4122,4594,4479,4177,4021,4001,3868,4021,4257,4639,7148,6235,6127,6412,6637,6260,7079,6474,5454,5632,4951,5508,5082,6443,6732,5228,4778,6009,5117,4808,5244,6157,5617,6312,5504,5882,5725,5334,5794,5748,5343,5482,4903
4,24712,24350,245,0,423,986,3181,5161,5460,4352,4558,4066,3027,2885,2516,2093,1524,2284,995,1678,1447,1697,1192,1345,784,984,518,738,590,560,961,223,704,402,337,663,1052,4575,4377,23264,23458,23578,23751,24245,12833,13203,13716,13834,14059,14547,14050,14785,14490,14825,15289,14902,18833,24202,12637,13443,11708,18142,12366,17470,10680,10640,11087,10812,11504,10724,11402,11057,373,1591,1249,2456,2124,1869,1585,2096,8306,1326,1438,1423,1852,1671,1120,960,1037,1383,6199,6071,7196,6843,7514,6642,6362,9278,9387,9361,8758,7020,7203,7126,7506,6929,7096,7477,7781,7437,3096,3170,2710,3613,2961,4466,3550,3423,3260,3589,2601,4383,2432,2611,3452,3218,3062,2880,5513,4179,3644,3292,3869,4075,5060,3439,4137,4319,4878,5133,5820,5415,6368,5551,10219,9974,10039,9740,10192,11139,9474,14188,13202,13943,20669,20366,19749,20999,20786,20907,20654,21527,22672,23114,26823,25683,25932,26408,27081,27307,27075,25654,22086,19686,19981,16829,17139,15656,15754,2742,3282,3990,4420,4878,3566,10178,9878,9821,10413,8304,9258,8674,8928,9298,10370,9470,9959,9779,10162,10868,10446,14616,14302,14601,3204,3201,3072,3311,3342,3462,2909,2643,2516,3574,1846,2676,1707,3249,2405,2158,2254,1644,2356,1904,2913,3200,2879,1782,1998,1769,2427,3004,3616,2680,2096,2669,2618,3186,2961,2243,3255,1637,3019,2217,2916,1658,2451,3730,1121,2718,2653,2548,1391,1420,2235,2585,2382,3249,1867,1802,2888,1971,2045,2186,3266,1823,1944,1854,3296,9314,4065,4409,4489,3877,4349,4235,3933,3776,3756,4063,4216,4452,4834,6953,6040,5933,6218,6831,6454,7274,6669,5648,5827,5146,5703,5277,6637,6927,5422,4973,6204,5312,5003,5438,6351,5812,6507,5698,6076,5920,5528,5988,5943,5538,5676,5098
5,24289,23927,618,423,0,563,3604,5584,5883,4775,4981,4489,3450,3308,2939,2516,1947,2707,1418,2101,1870,2120,1615,1768,897,1407,940,690,1013,399,762,561,1127,825,512,464,853,4998,4800,22841,23035,23155,23328,23822,12410,12781,13293,13411,13636,14124,13628,14362,14067,14402,14866,14479,18410,23779,12214,13020,11285,17719,11944,17047,10257,10218,10664,10389,11081,10301,10979,10634,174,1168,826,2034,1701,1446,1162,1673,7883,1749,1861,1622,2051,2094,1543,1383,1237,1582,6622,6493,7619,7266,7937,7065,6785,9701,9810,9784,9181,7442,7626,7549,7929,7351,7519,7900,8204,7860,3519,2971,3133,3414,3383,4266,3351,3224,3683,3390,3024,4184,2855,2188,3029,2795,2640,2457,5091,3757,3221,2869,3446,3652,4637,3016,3714,3896,4456,4710,5398,4992,5945,5129,9796,9551,9616,9317,9769,10716,9051,13765,12779,13520,20246,19944,19326,20576,20363,20484,20231,21105,22249,22691,26400,25260,25509,25985,26658,26884,26652,25231,21663,19264,19558,16406,16716,15233,15331,2942,3481,4189,4619,5077,3765,10378,10077,10020,10613,7881,8835,8251,8505,8875,9947,9047,9536,9357,9739,10445,10023,14193,13879,14178,3004,3002,2872,3112,3143,3263,2709,2444,2316,3374,1747,2477,1856,3049,2206,1958,2055,1688,2157,1705,2713,3001,2680,1583,1799,1569,2228,2805,3417,2481,1896,2470,2419,2986,2762,2044,3055,1438,2820,2017,2716,1458,2252,3531,921,2518,2454,2349,1191,1221,2035,2385,2182,2928,1668,1602,2688,1754,1845,1826,2843,1401,1524,1431,2873,9737,3866,4209,4289,3678,4150,4035,3733,3576,3557,4486,4638,4875,5257,6530,5618,5510,5795,7254,6877,7697,7092,6071,6250,5568,6126,5699,7060,7350,5845,5396,6627,5735,5426,5861,6774,6235,6930,6121,6499,6343,5951,6411,6366,5961,6099,5521
6,23726,23363,1181,986,563,0,4167,6147,6446,5338,5544,5052,4014,3872,3502,3080,2510,3270,1982,2664,2433,2683,2178,2331,1460,1971,1504,1254,1577,962,823,1124,1690,1389,1076,721,1168,5561,5364,22278,22472,22591,22765,23258,11846,12217,12730,12847,13072,13561,13064,13799,13503,13838,14303,13916,17847,23215,11651,12457,10721,17155,11380,16483,9694,9654,10101,9826,10517,9738,10415,10071,625,676,263,1470,1137,882,598,1110,7319,2312,2424,1900,2329,2658,2107,1947,1650,1860,7185,7057,8182,7830,8501,7628,7348,10264,10373,10347,9744,8006,8189,8113,8492,7915,8082,8463,8767,8424,4082,3072,3696,3136,3947,3989,3073,2946,4246,3112,3587,3906,3418,1625,2466,2232,2076,1894,4527,3193,2658,2306,2883,3089,4074,2452,3151,3332,3892,4147,4834,4429,5382,4565,9233,8988,9053,8754,9205,10152,8487,13202,12216,12957,19682,19380,18763,20013,19800,19921,19668,20541,21686,22127,25836,24697,24946,25422,26095,26321,26088,24668,21100,18700,18995,15843,16153,14669,14767,3219,3759,4467,4897,5355,4043,10656,10355,10298,10891,7317,8272,7688,7941,8311,9384,8484,8973,8793,9176,9882,9460,13629,13316,13615,2727,2724,2594,2834,2865,2985,2431,2166,2038,3096,2311,2199,2419,2771,1928,2143,1878,2251,1879,2044,2436,2723,2402,1946,1801,1825,1950,2527,3139,2203,1618,2192,2141,2709,2484,1766,2777,1160,2542,1740,2438,1180,1974,3253,716,2240,2176,2071,913,943,1758,2107,1904,2650,1390,1325,2410,1477,1568,1548,2422,1117,1246,926,2310,10300,3849,3931,4012,3400,3872,3757,3455,3299,3279,5049,5202,5438,5820,5967,5054,4947,5231,7817,7441,8260,7655,6634,6813,6132,6689,6263,7624,7913,6408,5959,7190,6298,5989,6425,7338,6798,7493,6685,7063,6906,6515,6974,6929,6524,6662,6084
7,27893,27531,2986,3181,3604,4167,0,1980,2279,1171,1377,885,974,695,665,1088,1657,897,2186,1503,1734,1484,1989,1836,2707,2197,2664,2914,2591,3205,3344,3043,2477,2779,3092,3447,2999,1394,1196,26445,26639,26759,26932,27426,16014,16385,16897,17015,17240,17728,17232,17966,17671,18006,18470,18083,22014,27383,15818,16624,14889,21323,15547,20651,13861,13822,14268,13993,14685,13905,14583,14238,3543,4772,4430,5638,5305,5050,4766,5277,11487,1855,1743,2739,2400,1510,2061,2221,2517,3082,4761,4035,6908,5202,7003,3461,3181,8984,9296,8849,7259,6522,5968,3945,4325,3747,3915,4296,4600,4256,2301,3163,2679,3606,1416,4459,3543,3416,1105,3582,2252,4376,1086,5792,6633,6399,6244,6061,8695,7361,6825,6473,7050,7256,8241,6620,7318,7500,8060,8314,9002,8596,9549,8733,13400,13155,13220,12921,13373,14320,12655,17369,16383,17124,23850,23548,22930,24180,23967,24088,23835,24709,25853,26295,30004,28864,29113,29589,30262,30488,30256,28835,25267,22868,23162,20010,20320,18837,18935,2749,3289,3997,4427,4885,3573,10186,9885,9828,10421,11485,12439,11855,12109,12479,13551,12651,13140,12961,13343,14049,13627,17797,17483,17782,3197,3194,3064,3304,3335,3455,2901,2636,2508,3566,1857,2669,1748,3241,2476,2150,2290,1916,2602,2123,3231,3370,2882,2222,2366,2342,2880,3694,3766,3326,2772,3929,3699,4281,4112,3482,4600,3128,4524,3938,4863,3359,4156,5577,3452,4717,4476,4954,3677,4509,4857,5414,5268,6430,4747,4424,5992,5153,4751,5367,6447,5005,5125,5035,6477,8288,4058,4401,4482,3870,4342,4227,3925,3769,3749,1755,1418,1271,1653,10134,9222,9114,9399,3650,3273,4093,3488,2467,2646,1964,2522,2095,3456,3746,2241,1792,3023,2131,1822,2257,3170,2631,3326,2517,2895,2739,2458,2890,3321,2809,3196,3022
8,29873,29511,4966,5161,5584,6147,1980,0,299,1193,603,1095,2570,2292,2645,3068,3637,2877,4166,3483,3714,3464,3969,3816,4687,4177,4643,4893,4571,5185,5324,5023,4457,4759,5071,5426,4979,1720,829,28425,28619,28739,28912,29406,17994,18364,18877,18995,19220,19708,19211,19946,19651,19986,20450,20063,23994,29363,17798,18604,16869,23303,17527,22631,15841,15801,16248,15973,16665,15885,16563,16218,5523,6752,6410,7617,7285,7030,6746,7257,13467,3835,3723,4719,4380,3490,4041,4201,4497,5062,3164,2438,5312,3606,5407,1745,1782,7388,7699,7252,5662,4925,4372,2114,2345,2206,1935,2316,2620,2276,3897,4759,4275,5202,3012,6055,5139,5012,2701,5178,3848,5973,2729,7772,8613,8379,8223,8041,10674,9340,8805,8453,9030,9236,10221,8600,9298,9480,10039,10294,10981,10576,11529,10712,15380,15135,15200,14901,15353,16300,14635,19349,18363,19104,25830,25527,24910,26160,25947,26068,25815,26688,27833,28275,31984,30844,31093,31569,32242,32468,32236,30815,27247,24847,25142,21990,22300,20817,20915,4552,3897,3380,3102,3467,3544,8589,8288,8231,8824,13465,14419,13835,14089,14459,15531,14631,15120,14940,15323,16029,15607,19777,19463,19762,4793,4790,4661,4901,4931,5052,4498,4249,4226,5397,3837,4538,3728,4933,4456,4005,4270,3896,4582,4103,5211,5350,4862,4202,4346,4322,4860,5673,5746,5306,4752,5908,5679,6261,6091,5462,6580,5108,6504,5918,6843,5339,6136,7557,5432,6697,6456,6934,5657,6489,6836,7394,7248,8410,6727,6404,7972,7132,6731,7347,8427,6984,7105,7015,8457,6692,5655,5998,6078,5466,5938,5824,5522,5365,5346,3352,3015,2577,1703,12114,11201,11094,11379,1670,1293,2113,1508,1592,912,1467,820,1328,1476,1766,724,1308,1043,923,1014,548,1190,651,1346,537,924,759,861,1293,1725,1213,1600,1425
9,30172,29810,5266,5460,5883,6446,2279,299,0,1381,903,1394,2759,2575,2944,3367,3936,3176,4465,3782,4013,3763,4269,4116,4986,4476,4943,5193,4870,5484,5623,5322,4756,5058,5371,5726,5279,1908,1083,28725,28918,29038,29211,29705,18293,18664,19176,19294,19519,20007,19511,20246,19950,20285,20749,20362,24294,29662,18098,18904,17168,23602,17827,22930,16140,16101,16547,16272,16964,16184,16862,16517,5822,7051,6709,7917,7584,7329,7045,7556,13766,4134,4023,5018,4679,3789,4340,4500,4796,5362,2976,2250,5124,3418,5218,1933,1970,7200,7511,7064,5474,4737,4183,2303,2046,2394,2111,2017,2321,1977,4085,4948,4463,5391,3201,6243,5328,5201,2889,5367,4037,6161,3028,8071,8912,8678,8523,8341,10974,9640,9105,8752,9329,9536,10520,8899,9598,9779,10339,10594,11281,10875,11829,11012,15679,15434,15499,15201,15652,16599,14934,19648,18662,19403,26129,25827,25209,26460,26247,26367,26115,26988,28132,28574,32283,31144,31392,31868,32541,32768,32535,31115,27546,25147,25441,22289,22600,21116,21214,4852,4196,3679,3402,3766,3844,8401,8100,8043,8636,13764,14718,14134,14388,14758,15830,14930,15419,15240,15623,16329,15906,20076,19762,20061,4981,4979,4849,5089,5120,5240,4686,4548,4525,5696,4136,4838,4027,5233,4755,4304,4569,4195,4881,4403,5511,5649,5162,4501,4645,4621,5159,5973,6045,5605,5051,6208,5978,6560,6391,5761,6880,5407,6803,6217,7143,5639,6436,7856,5731,6996,6755,7233,5956,6788,7136,7693,7548,8709,7026,6703,8271,7432,7030,7646,8726,7284,7404,7314,8756,6503,5843,6186,6266,5655,6127,6012,5710,5553,5534,3540,3203,2766,1891,12413,11501,11393,11678,1371,1315,1814,1209,1780,1100,1655,1008,1516,1177,1467,913,1496,744,1111,1203,737,891,553,1046,238,735,460,673,1105,1536,1024,1412,1237
10,29064,28702,4157,4352,4775,5338,1171,1193,1381,0,717,413,1378,1466,1836,2258,2828,2068,3356,2674,2905,2655,3160,3007,3878,3367,3834,4084,3761,4376,4515,4214,3648,3950,4262,4617,4170,528,364,27616,27810,27930,28103,28597,17184,17555,18068,18186,18410,18899,18402,19137,18841,19176,19641,19254,23185,28553,16989,17795,16059,22493,16718,21821,15032,14992,15439,15164,15855,15076,15753,15409,4713,5943,5601,6808,6475,6220,5936,6448,12657,3026,2914,3910,3570,2681,3232,3391,3688,4253,4357,3631,6504,4799,6599,2290,2010,8580,8892,8445,6855,6118,5564,2774,3154,2577,2744,3125,3429,3085,2705,3567,3083,4010,1820,4863,3947,3820,1509,3986,2656,4780,1920,6963,7804,7570,7414,7232,9865,8531,7996,7644,8221,8427,9412,7790,8489,8671,9230,9485,10172,9767,10720,9903,14571,14326,14391,14092,14543,15491,13825,18540,17554,18295,25021,24718,24101,25351,25138,25259,25006,25879,27024,27465,31175,30035,30284,30760,31433,31659,31426,30006,26438,24038,24333,21181,21491,20007,20106,3743,3087,3593,4023,4481,3169,9782,9481,9424,10017,12656,13610,13026,13280,13649,14722,13822,14311,14131,14514,15220,14798,18968,18654,18953,3601,3598,3625,3708,3812,3921,3423,3440,3416,4588,3027,3729,2919,4124,3647,3195,3461,3087,3773,3294,4402,4540,4053,3392,3537,3513,4050,4864,4936,4497,3942,5099,4870,5452,5282,4653,5771,4299,5695,5108,6034,4530,5327,6748,4622,5888,5647,6125,4847,5679,6027,6585,6439,7600,5918,5595,7163,6323,5922,6537,7618,6175,6296,6206,7648,7884,4462,4805,4886,4274,4746,4631,4329,4173,4153,2159,1822,1385,510,11305,10392,10285,10570,2479,2102,2922,2317,1296,1475,794,1351,925,2286,2575,1070,621,1852,960,651,1086,2000,1460,2155,1470,2116,1813,2054,2486,2917,2405,2792,2618
