,Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa_Aitulagi,Malaeloa_Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Aasu,0.0,5193.0,12412.0,7216.0,20829.0,13024.0,17177.0,4070.0,8428.0,14708.0,18571.0,8406.0,18938.0,2324.0,4477.0,8626.0,10890.0,19820.0,12181.0,22134.0,14082.0,13584.0,7926.0,15901.0,7224.0,4391.0,6620.0,3884.0,7249.0,7613.0,3192.0,8564.0,5769.0,5012.0,11108.0,9500.0,4251.0,2590.0,3318.0,4555.0,5773.0,1877.0,16794.0,14457.0,7389.0,2466.0,5710.0,4779.0,20039.0,16953.0,6601.0,3463.0,8261.0,17765.0,6258.0,4714.0,5741.0,21075.0,8278.0,20462.0,6813.0,6419.0,6063.0,10411.0
Afao,5193.0,0.0,17597.0,2070.0,25903.0,18125.0,22213.0,1321.0,3427.0,19830.0,23609.0,13598.0,24030.0,3165.0,737.0,13819.0,16054.0,24874.0,17270.0,27058.0,19186.0,18684.0,12994.0,21019.0,2708.0,2406.0,11579.0,9075.0,12401.0,2513.0,6239.0,13530.0,5649.0,6970.0,16179.0,14692.0,2673.0,7280.0,3674.0,4173.0,1887.0,5437.0,21932.0,19624.0,12391.0,6297.0,643.0,9563.0,25164.0,22044.0,11790.0,5366.0,3449.0,22880.0,1228.0,8231.0,4681.0,26195.0,13409.0,25508.0,1710.0,4657.0,7429.0,15589.0
Afono,12412.0,17597.0,0.0,19629.0,8858.0,2057.0,5697.0,16409.0,20813.0,2851.0,6932.0,4085.0,6950.0,14636.0,16871.0,3838.0,1686.0,8001.0,2134.0,10849.0,2581.0,2320.0,4969.0,3924.0,19519.0,16528.0,6532.0,8531.0,5244.0,20021.0,12440.0,4983.0,15701.0,13389.0,2640.0,2963.0,16090.0,10568.0,14818.0,15533.0,18049.0,12518.0,4610.0,2141.0,5723.0,11850.0,18123.0,8559.0,7837.0,5092.0,5896.0,13593.0,20598.0,5688.0,18667.0,11170.0,16442.0,8875.0,4341.0,8656.0,19224.0,17278.0,14186.0,2680.0
Agugulu,7216.0,2070.0,19629.0,0.0,27970.0,20188.0,24282.0,3369.0,1439.0,21890.0,25678.0,15609.0,26094.0,5060.0,2808.0,15834.0,18100.0,26942.0,19334.0,29127.0,21249.0,20747.0,15059.0,23079.0,1600.0,3633.0,13649.0,11099.0,14450.0,478.0,8246.0,15600.0,7163.0,8803.0,18244.0,16710.0,4458.0,9351.0,5618.0,5867.0,2201.0,7499.0,23987.0,21669.0,14459.0,8353.0,1506.0,11633.0,27223.0,24109.0,13794.0,7308.0,1674.0,24941.0,988.0,10224.0,6074.0,28256.0,15464.0,27577.0,428.0,5795.0,9121.0,17572.0
Alao,20829.0,25903.0,8858.0,27970.0,0.0,7811.0,3738.0,24642.0,29243.0,6175.0,2377.0,12855.0,1917.0,23130.0,25167.0,12594.0,10075.0,1097.0,8648.0,2878.0,6758.0,7251.0,12915.0,4993.0,28045.0,25114.0,14337.0,17041.0,13612.0,28394.0,20143.0,12400.0,22968.0,20576.0,9728.0,11750.0,24044.0,18641.0,22743.0,23200.0,26583.0,20555.0,4258.0,6728.0,13516.0,19766.0,26476.0,16393.0,1417.0,3884.0,14605.0,21277.0,29090.0,3170.0,27046.0,18459.0,23904.0,1129.0,12562.0,684.0,27587.0,24716.0,21088.0,11480.0
Alega,13024.0,18125.0,2057.0,20188.0,7811.0,0.0,4248.0,16879.0,21445.0,1734.0,5614.0,5219.0,5914.0,15321.0,17390.0,4953.0,2399.0,6824.0,873.0,9402.0,1061.0,560.0,5135.0,2903.0,20235.0,17305.0,6617.0,9233.0,5802.0,20605.0,12540.0,4745.0,15594.0,13218.0,1979.0,4194.0,16368.0,10896.0,15071.0,15636.0,18773.0,12833.0,3858.0,2053.0,5783.0,12079.0,18689.0,8699.0,7045.0,3930.0,6873.0,13692.0,21284.0,4756.0,19254.0,11020.0,16440.0,8072.0,4751.0,7475.0,19799.0,17270.0,13889.0,4460.0
Alofau,17177.0,22213.0,5697.0,24282.0,3738.0,4248.0,0.0,20942.0,25571.0,2845.0,1396.0,9445.0,2049.0,19490.0,21475.0,9179.0,6620.0,2671.0,5032.0,5181.0,3257.0,3708.0,9251.0,1912.0,24401.0,21499.0,10635.0,13440.0,10014.0,24710.0,16409.0,8689.0,19235.0,16843.0,6075.0,8383.0,20316.0,14939.0,19016.0,19462.0,22945.0,16842.0,1989.0,3781.0,9823.0,16045.0,22792.0,12679.0,3408.0,968.0,11121.0,17541.0,25434.0,1588.0,23366.0,14721.0,20166.0,4295.0,8954.0,3296.0,23903.0,20980.0,17370.0,8375.0
Amaluia,4070.0,1321.0,16409.0,3369.0,24642.0,16879.0,20942.0,0.0,4746.0,18591.0,22338.0,12449.0,22775.0,2394.0,637.0,12662.0,14844.0,23606.0,16019.0,25763.0,17940.0,17437.0,11744.0,19777.0,3959.0,2644.0,10308.0,7919.0,11190.0,3823.0,4920.0,12254.0,4653.0,5730.0,14924.0,13530.0,1612.0,6003.0,2396.0,3089.0,2869.0,4131.0,20699.0,18415.0,11126.0,4984.0,1956.0,8276.0,23923.0,20791.0,10656.0,4075.0,4762.0,21635.0,2546.0,6915.0,3826.0,24951.0,12183.0,24238.0,3027.0,4013.0,6272.0,14475.0
Amanave,8428.0,3427.0,20813.0,1439.0,29243.0,21445.0,25571.0,4746.0,0.0,23136.0,26967.0,16764.0,27358.0,6179.0,4151.0,16996.0,19315.0,28225.0,20598.0,30455.0,22505.0,22005.0,16329.0,24327.0,1538.0,4451.0,14950.0,12289.0,15677.0,961.0,9653.0,16903.0,8577.0,10241.0,19516.0,17875.0,5895.0,10669.0,7042.0,7304.0,2876.0,8857.0,25222.0,22876.0,15751.0,9722.0,2806.0,12960.0,28467.0,25373.0,14944.0,8735.0,608.0,26191.0,2219.0,11639.0,7474.0,29502.0,16705.0,28863.0,1722.0,7147.0,10553.0,18681.0
Amaua,14708.0,19830.0,2851.0,21890.0,6175.0,1734.0,2845.0,18591.0,23136.0,0.0,4108.0,6695.0,4261.0,16994.0,19096.0,6432.0,3900.0,5241.0,2606.0,8008.0,714.0,1198.0,6852.0,1193.0,21907.0,18959.0,8347.0,10887.0,7465.0,22303.0,14273.0,6478.0,17318.0,14938.0,3712.0,5605.0,18098.0,12617.0,16801.0,17370.0,20442.0,14558.0,2125.0,1161.0,7512.0,13808.0,20388.0,10430.0,5333.0,2307.0,8431.0,15425.0,22963.0,3057.0,20951.0,12745.0,18171.0,6367.0,6430.0,5898.0,21498.0,18999.0,15592.0,5530.0
