Group,Population
Aasu,494.0
Afao,182.0
Afono,524.0
Agugulu,51.0
Alao,495.0
Alega,54.0
Alofau,646.0
Amaluia,162.0
Amanave,250.0
Amaua,170.0
Amouli,920.0
Anua,18.0
Aoa,855.0
Aoloau,615.0
Asili,224.0
Atuu,359.0
Aua,2077.0
Auasi,113.0
Aumi,186.0
Aunuu,436.0
Auto,262.0
Avaio,44.0
Fagaalu,910.0
Fagaitua,433.0
Fagalii,247.0
Fagamalo,47.0
Faganeanea,150.0
Fagasa,831.0
Fagatogo,1737.0
Failolo,108.0
Faleniu,1898.0
Fatumafuti,113.0
Futiga,723.0
Iliili,3195.0
Laulii,892.0
Leloaloa,448.0
Leone,3138.0
Malaeimi,1182.0
Malaeloa_Aitulagi,698.0
Malaeloa_Ituau,550.0
Maloata,8.0
Mapusagafou,1126.0
Masausi,164.0
Masefau,425.0
Matuu,399.0
Mesepa,444.0
Nua,141.0
Nuuuli,3955.0
Onenoa,150.0
Pagai,118.0
Pago,3953.0
Pavaiai,2450.0
Poloa,193.0
Sailele,75.0
Seetaga,299.0
Tafuna,7945.0
Taputimu,841.0
Tula,405.0
Utulei,684.0
Utumea East,48.0
Utumea West,53.0
Vailoatai,1447.0
Vaitogi,1959.0
Vatia,640.0
