,Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa_Aitulagi,Malaeloa_Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Aasu,0.0,6932.0,16146.0,9369.0,24718.0,15626.0,19807.0,5658.0,10419.0,17964.0,21481.0,11266.0,22701.0,2462.0,6049.0,11491.0,13762.0,23191.0,14448.0,24048.0,16955.0,16301.0,9129.0,19388.0,8256.0,4524.0,6927.0,5114.0,8996.0,9723.0,4335.0,9173.0,6016.0,6518.0,12974.0,12607.0,5889.0,3272.0,4236.0,5528.0,6420.0,2461.0,20815.0,18404.0,8055.0,3477.0,7418.0,5342.0,24627.0,20285.0,8936.0,3978.0,9789.0,21639.0,7994.0,6657.0,6951.0,25827.0,10077.0,23833.0,8765.0,8123.0,7636.0,14279.0
Afao,6932.0,0.0,23078.0,2437.0,31649.0,22558.0,26739.0,1366.0,3487.0,24896.0,28413.0,18198.0,29633.0,4470.0,883.0,18423.0,20694.0,30123.0,21380.0,30980.0,23887.0,23232.0,16061.0,26320.0,3593.0,2679.0,13859.0,12045.0,15928.0,2791.0,6759.0,16105.0,7936.0,8943.0,19906.0,19539.0,3634.0,8576.0,4442.0,5732.0,2619.0,5937.0,27746.0,25336.0,14987.0,6669.0,769.0,11073.0,31559.0,27216.0,15868.0,6402.0,3952.0,28571.0,1374.0,9081.0,6620.0,32758.0,17009.0,30765.0,1833.0,6477.0,10060.0,21211.0
Afono,16146.0,23078.0,0.0,25515.0,9136.0,2863.0,7176.0,21804.0,26565.0,3599.0,8224.0,4879.0,7325.0,18608.0,22195.0,4655.0,2384.0,8855.0,2495.0,13151.0,3559.0,3278.0,7017.0,4505.0,24402.0,20399.0,9219.0,11032.0,7150.0,25869.0,17407.0,6973.0,22162.0,18931.0,3172.0,3539.0,22035.0,14501.0,20382.0,21674.0,22566.0,17141.0,4669.0,2258.0,8091.0,16408.0,23564.0,12005.0,8481.0,5893.0,7210.0,19003.0,25935.0,5877.0,24140.0,15795.0,23097.0,9681.0,6069.0,9527.0,24911.0,24269.0,20047.0,3299.0
Agugulu,9369.0,2437.0,25515.0,0.0,34086.0,24995.0,29176.0,3711.0,1743.0,27333.0,30850.0,20635.0,32070.0,6907.0,3320.0,20860.0,23131.0,32560.0,23817.0,33417.0,26324.0,25669.0,18498.0,28757.0,1970.0,5116.0,16296.0,14482.0,18365.0,576.0,8382.0,18542.0,9559.0,10566.0,22343.0,21976.0,5257.0,11013.0,6065.0,7355.0,2948.0,8374.0,30183.0,27773.0,17424.0,9106.0,1951.0,13510.0,33996.0,29653.0,18305.0,8025.0,2329.0,31008.0,1374.0,10704.0,8243.0,35195.0,19446.0,33202.0,604.0,8100.0,11683.0,23648.0
Alao,24718.0,31649.0,9136.0,34086.0,0.0,9092.0,4910.0,30375.0,35136.0,6753.0,3236.0,13451.0,2017.0,27180.0,30766.0,13226.0,10956.0,1526.0,10270.0,4015.0,7762.0,8417.0,15589.0,5329.0,32973.0,28971.0,17790.0,19604.0,15721.0,34440.0,25979.0,15545.0,30734.0,27503.0,11744.0,12110.0,30606.0,23073.0,28954.0,30246.0,31138.0,25712.0,4586.0,7119.0,16662.0,24980.0,32135.0,20577.0,2002.0,4433.0,15782.0,27574.0,34507.0,3259.0,32712.0,24366.0,31668.0,1148.0,14641.0,885.0,33483.0,32841.0,28619.0,12435.0
Alega,15626.0,22558.0,2863.0,24995.0,9092.0,0.0,4314.0,21284.0,26045.0,2338.0,5856.0,5956.0,7075.0,18088.0,21675.0,5655.0,2835.0,7565.0,1178.0,10288.0,1329.0,675.0,6497.0,3762.0,23882.0,19879.0,8699.0,10512.0,6629.0,25349.0,16887.0,6453.0,21642.0,18411.0,2652.0,5106.0,21515.0,13981.0,19862.0,21154.0,22046.0,16620.0,5189.0,2778.0,7571.0,15888.0,23044.0,11485.0,9001.0,4659.0,7051.0,18482.0,25415.0,6013.0,23620.0,15275.0,22577.0,10201.0,5549.0,8207.0,24391.0,23749.0,19527.0,6161.0
Alofau,19807.0,26739.0,7176.0,29176.0,4910.0,4314.0,0.0,25465.0,30226.0,3577.0,1674.0,10270.0,2894.0,22269.0,25856.0,9968.0,7149.0,3384.0,5359.0,5974.0,3617.0,3899.0,10678.0,2672.0,28063.0,24060.0,12880.0,14694.0,10811.0,29530.0,21068.0,10634.0,25823.0,22593.0,6833.0,9419.0,25696.0,18163.0,24043.0,25335.0,26228.0,20802.0,2626.0,5159.0,11752.0,20070.0,27225.0,15666.0,4820.0,1283.0,11365.0,22664.0,29597.0,1832.0,27802.0,19456.0,26758.0,6019.0,9730.0,4026.0,28572.0,27931.0,23709.0,10475.0
Amaluia,5658.0,1366.0,21804.0,3711.0,30375.0,21284.0,25465.0,0.0,4761.0,23622.0,27139.0,16924.0,28359.0,3196.0,811.0,17149.0,19420.0,28849.0,20106.0,29706.0,22613.0,21958.0,14787.0,25046.0,4959.0,3465.0,12585.0,10771.0,14654.0,4065.0,5393.0,14831.0,6570.0,7577.0,18632.0,18265.0,2268.0,7303.0,3076.0,4367.0,3984.0,4663.0,26472.0,24062.0,13713.0,5395.0,2134.0,9799.0,30285.0,25942.0,14594.0,5036.0,5318.0,27297.0,2739.0,7715.0,5254.0,31484.0,15735.0,29491.0,3107.0,5111.0,8694.0,19937.0
Amanave,10419.0,3487.0,26565.0,1743.0,35136.0,26045.0,30226.0,4761.0,0.0,28383.0,31900.0,21685.0,33120.0,7957.0,4370.0,21910.0,24181.0,33610.0,24867.0,34467.0,27374.0,26719.0,19548.0,29807.0,2163.0,6166.0,17346.0,15532.0,19415.0,1167.0,10125.0,19592.0,11302.0,12308.0,23393.0,23026.0,6999.0,12063.0,7808.0,9098.0,3998.0,9424.0,31233.0,28823.0,18474.0,10156.0,3001.0,14560.0,35046.0,30703.0,19355.0,9768.0,629.0,32058.0,2424.0,12447.0,9985.0,36245.0,20495.0,34252.0,1788.0,9843.0,13426.0,24698.0
Amaua,17964.0,24896.0,3599.0,27333.0,6753.0,2338.0,3577.0,23622.0,28383.0,0.0,4625.0,6698.0,4736.0,20427.0,24013.0,6473.0,4202.0,5256.0,3517.0,9552.0,1009.0,1664.0,8835.0,1424.0,26220.0,22217.0,11037.0,12851.0,8968.0,27687.0,19226.0,8791.0,23980.0,20750.0,4990.0,5842.0,23853.0,16320.0,22201.0,23492.0,24385.0,18959.0,2850.0,1582.0,9909.0,18227.0,25382.0,13823.0,6663.0,2320.0,9028.0,20821.0,27754.0,3674.0,25959.0,17613.0,24915.0,7862.0,7888.0,5928.0,26729.0,26088.0,21866.0,6898.0
Amouli,21481.0,28413.0,8224.0,30850.0,3236.0,5856.0,1674.0,27139.0,31900.0,4625.0,0.0,11317.0,1219.0,23944.0,27530.0,11016.0,8196.0,1710.0,7034.0,4927.0,4665.0,5181.0,12353.0,3719.0,29737.0,25735.0,14554.0,16368.0,12485.0,31204.0,22743.0,12308.0,27498.0,24267.0,8508.0,10467.0,27370.0,19837.0,25718.0,27009.0,27902.0,22476.0,3674.0,6207.0,13426.0,21744.0,28899.0,17341.0,3146.0,2331.0,12545.0,24338.0,31271.0,2346.0,29476.0,21130.0,28432.0,4345.0,11405.0,2351.0,30246.0,29605.0,25383.0,11522.0
Anua,11266.0,18198.0,4879.0,20635.0,13451.0,5956.0,10270.0,16924.0,21685.0,6698.0,11317.0,0.0,11434.0,13729.0,17315.0,302.0,3121.0,11949.0,5589.0,16244.0,6653.0,6371.0,2712.0,8122.0,19522.0,15520.0,4339.0,6153.0,2270.0,20989.0,12528.0,4114.0,17283.0,14052.0,5064.0,1341.0,17155.0,9622.0,15503.0,16795.0,17687.0,12261.0,9548.0,7138.0,3211.0,11529.0,18684.0,7126.0,13361.0,9018.0,2331.0,14123.0,21056.0,10372.0,19261.0,10915.0,18217.0,14560.0,2167.0,12621.0,20032.0,19390.0,15168.0,3012.0
Aoa,22701.0,29633.0,7325.0,32070.0,2017.0,7075.0,2894.0,28359.0,33120.0,4736.0,1219.0,11434.0,0.0,25163.0,28750.0,11210.0,8939.0,1530.0,8253.0,5826.0,5745.0,6400.0,13572.0,3313.0,30957.0,26954.0,15773.0,17587.0,13704.0,32424.0,23962.0,13528.0,28717.0,25486.0,9727.0,10094.0,28590.0,21056.0,26937.0,28229.0,29121.0,23695.0,2774.0,5308.0,14646.0,22963.0,30119.0,18560.0,1926.0,2416.0,13765.0,25557.0,32490.0,1447.0,30695.0,22350.0,29652.0,3126.0,12624.0,2202.0,31466.0,30824.0,26602.0,10623.0
Aoloau,2462.0,4470.0,18608.0,6907.0,27180.0,18088.0,22269.0,3196.0,7957.0,20427.0,23944.0,13729.0,25163.0,0.0,3587.0,13953.0,16224.0,25653.0,16910.0,26510.0,19418.0,18763.0,11591.0,21850.0,5794.0,2346.0,9390.0,7576.0,11459.0,7261.0,6512.0,11635.0,7689.0,8696.0,15436.0,15069.0,3427.0,5450.0,4195.0,5485.0,3958.0,4638.0,23277.0,20866.0,10517.0,5655.0,4956.0,7520.0,27089.0,22747.0,11398.0,6155.0,7327.0,24101.0,5532.0,8834.0,6373.0,28289.0,12539.0,26295.0,6303.0,6230.0,9813.0,16741.0
Asili,6049.0,883.0,22195.0,3320.0,30766.0,21675.0,25856.0,811.0,4370.0,24013.0,27530.0,17315.0,28750.0,3587.0,0.0,17540.0,19811.0,29240.0,20497.0,30097.0,23004.0,22349.0,15178.0,25437.0,4148.0,2654.0,12976.0,11162.0,15045.0,3674.0,6204.0,15222.0,7381.0,8388.0,19023.0,18656.0,3079.0,7694.0,3887.0,5178.0,3173.0,5054.0,26863.0,24453.0,14104.0,5786.0,1369.0,10190.0,30676.0,26333.0,14985.0,5847.0,4507.0,27688.0,1945.0,8527.0,6065.0,31875.0,16126.0,29882.0,2716.0,5922.0,9506.0,20328.0
Atuu,11491.0,18423.0,4655.0,20860.0,13226.0,5655.0,9968.0,17149.0,21910.0,6473.0,11016.0,302.0,11210.0,13953.0,17540.0,0.0,2819.0,11700.0,5287.0,15943.0,6351.0,6070.0,2410.0,7897.0,19747.0,15744.0,4564.0,6377.0,2495.0,21214.0,12752.0,3812.0,17507.0,14276.0,4762.0,1116.0,17380.0,9846.0,15727.0,17019.0,17911.0,12486.0,9323.0,6913.0,3436.0,11754.0,18909.0,7350.0,13136.0,8794.0,2555.0,14348.0,21280.0,10148.0,19485.0,11140.0,18442.0,14336.0,1865.0,12342.0,20256.0,19614.0,15393.0,2788.0
