Group,Population
1,108
2,576
3,148
4,260
5,80
6,232
7,180
8,208
9,96
10,168
11,132
12,132
13,144
14,112
15,124
16,104
17,120
18,308
19,236
20,104
21,80
22,308
23,104
24,180
25,100
26,148
27,176
28,144
29,204
30,96
31,156
32,184
33,156
34,284
35,120
36,96
37,240
38,80
39,112
40,108
41,84
42,80
43,192
44,152
45,112
46,164
47,192
48,96
49,312
50,148
51,80
52,108
53,224
54,100
55,152
56,116
57,80
58,168
59,156
60,168
61,164
62,96
63,100
64,216
65,104
66,344
67,156
68,284
69,172
70,108
71,136
72,144
73,144
74,144
75,80
76,120
77,220
78,92
79,88
80,84
81,144
82,140
83,452
84,80
85,232
86,144
87,108
88,92
89,152
90,136
91,192
92,200
93,124
94,232
95,252
96,176
97,96
98,188
99,216
100,96
101,104
102,92
103,140
104,84
105,140
106,164
107,276
108,96
109,84
110,340
111,124
112,152
113,136
114,136
115,156
116,84
117,192
118,116
119,120
120,452
121,164
122,132
123,156
124,176
125,84
126,96
127,220
128,168
129,176
130,124
131,296
132,376
133,92
134,176
135,92
136,248
137,96
138,192
139,284
140,132
141,180
142,212
143,392
144,104
145,180
146,88
147,80
148,136
149,144
150,120
151,360
152,120
153,148
154,316
155,80
156,172
157,148
158,88
159,108
160,164
161,224
162,144
163,128
164,172
165,132
166,156
167,172
168,96
169,108
170,164
171,256
172,152
173,244
174,152
175,156
176,184
177,284
178,216
179,356
180,88
181,208
182,256
183,116
184,160
185,84
186,204
187,128
188,120
189,100
190,196
191,148
192,112
193,212
194,256
195,168
196,280
197,352
198,172
199,316
200,260
201,128
202,108
203,92
204,152
205,236
206,316
207,96
208,260
209,132
210,168
211,364
212,136
213,176
214,208
215,128
216,540
217,80
218,148
219,128
220,228
221,156
222,120
223,136
224,412
225,248
226,100
227,292
228,160
229,324
230,172
231,120
232,164
233,100
234,80
235,220
236,164
237,104
238,156
239,88
240,200
241,124
242,140
243,124
244,112
245,152
246,136
247,212
248,132
249,92
250,220
251,260
252,84
253,132
254,100
255,96
256,140
257,124
258,156
259,108
260,132
261,128
262,192
263,228
264,168
265,120
266,112
267,120
268,128
269,136
270,152
271,192
272,108
273,108
274,116
275,188
276,160
277,156
278,400
279,152
280,116
281,148
282,92
283,220
284,312
285,156
286,192
287,228
288,108
289,124
290,272
291,204
292,272
293,112
294,100
295,144
296,200
297,100
298,180
299,252
300,164
301,120
302,140
303,92
304,100
305,136
306,216
307,104
308,136
309,108
310,160
311,96
312,156
313,104
314,84
315,148
316,184
