,a,b,c,d,e,f,g,h,i,j
a,0.0,500.0,969.0,488.0,1028.0,1116.0,1358.0,672.0,1054.0,355.0
b,500.0,0.0,755.0,330.0,528.0,616.0,858.0,538.0,554.0,467.0
c,969.0,755.0,0.0,481.0,243.0,615.0,389.0,1293.0,1289.0,614.0
d,488.0,330.0,481.0,0.0,540.0,628.0,870.0,868.0,864.0,137.0
e,1028.0,528.0,243.0,540.0,0.0,372.0,330.0,1050.0,1046.0,673.0
f,1116.0,616.0,615.0,628.0,372.0,0.0,416.0,678.0,674.0,761.0
g,1358.0,858.0,389.0,870.0,330.0,416.0,0.0,1094.0,1090.0,1003.0
h,672.0,538.0,1293.0,868.0,1050.0,678.0,1094.0,0.0,442.0,1005.0
i,1054.0,554.0,1289.0,864.0,1046.0,674.0,1090.0,442.0,0.0,1001.0
j,355.0,467.0,614.0,137.0,673.0,761.0,1003.0,1005.0,1001.0,0.0
